,ORG,PER,LOC,DATE,Mean
kin,0.9846888780593872,0.8764285445213318,0.9654300212860107,0.9822108745574951,0.9754625773118213
twi,0.9871302843093872,0.8809114694595337,0.9668691158294678,0.9720355272293091,0.9734933384103712
luo,0.9779223203659058,0.8834023475646973,0.9690871238708496,0.9760190844535828,0.9725596959294837
sna,0.9806337356567383,0.8752726316452026,0.9512932300567627,0.9854032397270203,0.9705380925945207
nya,0.9806429147720337,0.8806110620498657,0.9604307413101196,0.9745669364929199,0.9700906066333547
zul,0.9809043407440186,0.8766921162605286,0.9515076279640198,0.98133784532547,0.9693958630748823
ibo,0.9823877215385437,0.8719415664672852,0.9443410634994507,0.9829699993133545,0.9679788491305183
tsn,0.9725593328475952,0.8780548572540283,0.9529685974121094,0.98296058177948,0.9677032037498126
wol,0.9756805896759033,0.8661847710609436,0.9427079558372498,0.9785560965538025,0.9636979504348406
ewe,0.9781554341316223,0.8806761503219604,0.9581618309020996,0.9572200179100037,0.9628685790728899
xho,0.9734064340591431,0.8712767958641052,0.9341262578964233,0.980694591999054,0.9609489842177996
lug,0.9519575834274292,0.8835000395774841,0.9706535935401917,0.964201033115387,0.9607262132214565
bam,0.9565235376358032,0.8581115007400513,0.947609543800354,0.968501627445221,0.9555952284071181
swa,0.9662151336669922,0.8825817108154297,0.974540114402771,0.92357337474823,0.9533606292375552
mos,0.9769193530082703,0.876459002494812,0.9430875182151794,0.9423747062683105,0.952604286810931
bbj,0.9749007821083069,0.8783754706382751,0.9292773008346558,0.9565837383270264,0.9521125325190476
yor,0.9740369915962219,0.8665156364440918,0.9234806895256042,0.9639499187469482,0.9521106333514444
pcm,0.9688559174537659,0.8875460028648376,0.9597700834274292,0.9232510328292847,0.9493888215301862
fon,0.978627622127533,0.8784980773925781,0.9222629070281982,0.9442424178123474,0.9470074613109912
hau,0.9672156572341919,0.8757695555686951,0.9043134450912476,0.950883150100708,0.9395288973072775
