,PER,ORG,DATE,LOC
bam,0.9999751448631287,0.9999750852584839,,0.9999648928642273
bbj,0.9999686479568481,0.9999572038650513,,0.9999639987945557
ewe,0.9999794363975525,0.9999814629554749,,0.9999796152114868
fon,0.9999700784683228,0.9999485015869141,,0.9999393820762634
hau,0.9999834895133972,0.999976396560669,,0.9999741911888123
ibo,0.9999889731407166,0.9999605417251587,,0.9999804496765137
kin,0.9999868273735046,0.999976634979248,,0.9999920129776001
lug,0.9999948143959045,0.9999879002571106,,0.9999560713768005
luo,0.9999665021896362,0.9999533891677856,,0.9999909400939941
mos,0.9999727606773376,0.9999477863311768,,0.9999656081199646
nya,0.9999834299087524,0.9999805688858032,,0.9999886155128479
pcm,0.9999798536300659,0.9999528527259827,,0.9999688267707825
sna,0.999990701675415,0.9999703168869019,,0.9999905228614807
swa,0.9999703764915466,0.9999630451202393,,0.9999755024909973
tsn,0.9999865889549255,0.9999778866767883,,0.9999772906303406
twi,0.9999824166297913,0.9999774694442749,,0.9999768733978271
wol,0.9999838471412659,0.9999666213989258,,0.9999760389328003
xho,0.9999832510948181,0.9999775290489197,,0.9999760389328003
yor,0.9999446868896484,0.9999622106552124,,0.9999318718910217
zul,0.9999809861183167,0.9999836087226868,,0.9999761581420898
