,LOC,PER,ORG,DATE
bam,0.9461199045181274,0.9743978977203369,0.959583580493927,0.9664841294288635
bbj,0.9237064719200134,0.9782063364982605,0.9786329865455627,0.9522926807403564
ewe,0.9570837020874023,0.9805646538734436,0.9848541021347046,0.9527390003204346
fon,0.918992280960083,0.9798682928085327,0.9794670343399048,0.9432410001754761
hau,0.9131008386611938,0.9805624485015869,0.9684998989105225,0.9496263265609741
ibo,0.9390032887458801,0.9823689460754395,0.9771409630775452,0.9825839996337891
kin,0.9691693782806396,0.9795730113983154,0.9892488121986389,0.9795352220535278
lug,0.9705085754394531,0.9941132664680481,0.9519570469856262,0.9605178833007812
luo,0.9664629697799683,0.9767336249351501,0.981035053730011,0.9696059226989746
mos,0.9384186863899231,0.982418417930603,0.9803673624992371,0.9395411014556885
nya,0.9595136642456055,0.9842926263809204,0.9870719909667969,0.9655035138130188
pcm,0.9646672606468201,0.9799787402153015,0.9489461183547974,0.904199481010437
sna,0.9347805976867676,0.9821314811706543,0.9702543616294861,0.9824396371841431
swa,0.9785758256912231,0.977846622467041,0.9519474506378174,0.9273621439933777
tsn,0.9542307257652283,0.9821356534957886,0.9790700078010559,0.9796947240829468
twi,0.9704270362854004,0.9842350482940674,0.987312376499176,0.967831015586853
wol,0.9380003213882446,0.9827220439910889,0.9810424447059631,0.9772570133209229
xho,0.9302350282669067,0.9783836007118225,0.974138081073761,0.9795195460319519
yor,0.9181479811668396,0.9684691429138184,0.977554202079773,0.9607935547828674
zul,0.9505913257598877,0.9740250706672668,0.9832802414894104,0.9762782454490662
