,LOC,DATE,PER,ORG
bam,0.9452589750289917,0.9667115211486816,0.9774918556213379,0.958213746547699
bbj,0.9082887172698975,0.9484623074531555,0.9735356569290161,0.9786684513092041
ewe,0.9615678787231445,0.9451554417610168,0.9715909361839294,0.9841246604919434
fon,0.9332640767097473,0.9556631445884705,0.9763902425765991,0.9843316078186035
hau,0.9477095007896423,0.9266855120658875,0.9716430902481079,0.9805470108985901
ibo,0.9157731533050537,0.9820838570594788,0.9803981781005859,0.9806308150291443
kin,0.9641324877738953,0.9761577844619751,0.9751438498497009,0.9839448928833008
lug,0.9757079482078552,0.9516195058822632,0.9786007404327393,0.9706355929374695
luo,0.9713262319564819,0.9706393480300903,0.97288978099823,0.9794688820838928
mos,0.9416807293891907,0.9397024512290955,0.9795869588851929,0.9822767972946167
nya,0.9379704594612122,0.9557219743728638,0.984207034111023,0.9789957404136658
pcm,0.9592297077178955,0.8719173669815063,0.9778409600257874,0.9516310691833496
sna,0.9439447522163391,0.9718313813209534,0.9718360304832458,0.9781370759010315
swa,0.9743883609771729,0.8870992064476013,0.9724580645561218,0.9556028246879578
tsn,0.9602898955345154,0.969539999961853,0.9782566428184509,0.9802075624465942
twi,0.9750617146492004,0.9647173285484314,0.9789934158325195,0.98757004737854
wol,0.9225807785987854,0.9662796258926392,0.9821763634681702,0.9791078567504883
xho,0.9427375197410583,0.9554928541183472,0.9607244729995728,0.9739910960197449
yor,0.892620861530304,0.9636583924293518,0.9736140370368958,0.9756700396537781
zul,0.9550662040710449,0.9635874629020691,0.9717704057693481,0.9872881174087524
