,DATE,PER,LOC,ORG
bam,0.9860751032829285,0.9021039605140686,0.9821145534515381,0.9575968384742737
bbj,0.968923032283783,0.912928581237793,0.9695788621902466,0.9813972115516663
ewe,0.9758061170578003,0.9192143082618713,0.9832826852798462,0.9875432848930359
fon,0.9660685062408447,0.9111126065254211,0.9784698486328125,0.9823707938194275
hau,0.9620991349220276,0.9165356159210205,0.9504883885383606,0.9811798334121704
ibo,0.9929517507553101,0.9109582901000977,0.9754480123519897,0.9866904616355896
kin,0.9923061728477478,0.900956928730011,0.9819042086601257,0.9844943881034851
lug,0.9836881160736084,0.8867559432983398,0.9794343113899231,0.9791440963745117
luo,0.9864300489425659,0.9253244400024414,0.9848859310150146,0.9827238321304321
mos,0.9692703485488892,0.9054404497146606,0.979258120059967,0.983812153339386
nya,0.9847354888916016,0.9139014482498169,0.9758204817771912,0.9822784662246704
pcm,0.9517837166786194,0.9219805002212524,0.9858881831169128,0.9747110605239868
sna,0.9854361414909363,0.9185563921928406,0.981102705001831,0.979436457157135
swa,0.95784991979599,0.9146386384963989,0.9800406694412231,0.9699046611785889
tsn,0.9889205694198608,0.9173936247825623,0.9842111468315125,0.9836184978485107
twi,0.985725998878479,0.9215449094772339,0.9789956212043762,0.9912475943565369
wol,0.9862343668937683,0.9083211421966553,0.9691725373268127,0.9774173498153687
xho,0.9857822060585022,0.9028650522232056,0.9801551103591919,0.9821942448616028
yor,0.982526421546936,0.9089940786361694,0.9732446670532227,0.9784078001976013
zul,0.9883662462234497,0.9043504595756531,0.9844611883163452,0.9838817119598389
