,PER,LOC,DATE,ORG,Mean
lug,0.97863305,0.97260976,0.93441266,0.96705973,0.96317875
kin,0.9493146,0.94650763,0.92790693,0.94163465,0.941341
nya,0.9482974,0.90966797,0.89617616,0.9191473,0.9183222
xho,0.88282806,0.9184567,0.9317484,0.92299235,0.91400635
sna,0.8878564,0.91964483,0.92196584,0.911602,0.9102673
luo,0.9353379,0.91206825,0.86862123,0.8865658,0.90064824
zul,0.9134116,0.8817188,0.85687643,0.901945,0.88848794
tsn,0.9256792,0.844643,0.8730161,0.9041283,0.8868666
wol,0.9130794,0.8683106,0.83097476,0.9005965,0.87824035
twi,0.9303894,0.86291355,0.8249968,0.88089633,0.8747991
ibo,0.89175034,0.8822052,0.86382914,0.8378447,0.86890733
hau,0.887996,0.84856284,0.8667139,0.8627788,0.8665129
bam,0.89068586,0.85858434,0.8476165,0.8458581,0.8606862
swa,0.91844755,0.8371602,0.8339425,0.8309347,0.85512125
mos,0.8433127,0.82159966,0.7795253,0.85790926,0.8255867
ewe,0.85678613,0.8115183,0.78047526,0.8441563,0.82323396
pcm,0.8903546,0.7869305,0.7134079,0.8092023,0.79997385
fon,0.8355386,0.79011834,0.6993488,0.8144955,0.78487533
yor,0.77188164,0.73074836,0.7473642,0.7246392,0.74365836
bbj,0.804306,0.69812113,0.68765014,0.7439156,0.7334982
