,PER,DATE,ORG,LOC
bam,0.9718555212020874,,0.9082772135734558,0.9295783042907715
bbj,0.9683331251144409,,0.9461163282394409,0.8294290900230408
ewe,0.955474853515625,,0.9550025463104248,0.9519314765930176
fon,0.94459468126297,,0.9602844715118408,0.8675716519355774
hau,0.9645525217056274,,0.9596091508865356,0.8788764476776123
ibo,0.975730836391449,,0.9605764150619507,0.8644010424613953
kin,0.9615286588668823,,0.9720741510391235,0.9679795503616333
lug,0.9380640983581543,,0.9567433595657349,0.9724015593528748
luo,0.9587177634239197,,0.9616329073905945,0.9661487340927124
mos,0.9545880556106567,,0.9580548405647278,0.8766467571258545
nya,0.9833391904830933,,0.9697812795639038,0.8888570666313171
pcm,0.9771623015403748,,0.9076843857765198,0.9718919396400452
sna,0.9618306159973145,,0.9359536170959473,0.8712862730026245
swa,0.9570295214653015,,0.9332644939422607,0.9697813987731934
tsn,0.9638254046440125,,0.9457336664199829,0.9388965964317322
twi,0.9783610105514526,,0.9761953353881836,0.9725795984268188
wol,0.9699857234954834,,0.9491528868675232,0.877679169178009
xho,0.8916984796524048,,0.9371471405029297,0.848810076713562
yor,0.9074118733406067,,0.9351574182510376,0.797598659992218
zul,0.9270634055137634,,0.9507009387016296,0.9158087968826294
