,PER,ORG,DATE,LOC
bam,0.9998909831047058,0.9998757839202881,0.9997639060020447,0.999581515789032
bbj,0.9997900724411011,0.9989884495735168,0.9998987317085266,0.9989911317825317
ewe,0.999743640422821,0.9999067783355713,0.9993667602539062,0.9996583461761475
fon,0.9995402693748474,0.9996761679649353,0.9998206496238708,0.9994232654571533
hau,0.9999234080314636,0.9998364448547363,0.999709963798523,0.999488353729248
ibo,0.9999221563339233,0.9998606443405151,0.9999223947525024,0.9993683099746704
kin,0.9992486238479614,0.9994691014289856,0.9994626045227051,0.9998986124992371
lug,0.9999852180480957,0.999484658241272,0.9984679222106934,0.9997859001159668
luo,0.9978392124176025,0.9995169043540955,0.9998853802680969,0.9999268651008606
mos,0.9995340704917908,0.9997360706329346,0.9995134472846985,0.9996806979179382
nya,0.9996932744979858,0.9993874430656433,0.9993736147880554,0.999714195728302
pcm,0.9996713399887085,0.9984424114227295,0.9917400479316711,0.9998491406440735
sna,0.999779999256134,0.9995879530906677,0.9994828701019287,0.9996343851089478
swa,0.999887228012085,0.9952603578567505,0.9955761432647705,0.9998813271522522
tsn,0.9998746514320374,0.9989151954650879,0.9995772242546082,0.9998472929000854
twi,0.9999195337295532,0.9998889565467834,0.9986234307289124,0.9998851418495178
wol,0.9996838569641113,0.9996792674064636,0.9998669028282166,0.9994833469390869
xho,0.9997397065162659,0.9996474385261536,0.9994494915008545,0.9990168809890747
yor,0.9998873472213745,0.9996028542518616,0.9998663067817688,0.9994280338287354
zul,0.9998365640640259,0.9998959302902222,0.9998047351837158,0.9994494318962097
