,LOC,DATE,PER,ORG
bam,0.999931812286377,,,0.9996947050094604
bbj,0.9998541474342346,,0.9999111890792847,0.9998893737792969
ewe,,,0.9999718070030212,0.9999417662620544
fon,0.9999071955680847,,0.9999696612358093,0.9999457001686096
hau,0.9999694228172302,,0.9999722838401794,0.999963641166687
ibo,0.9999783635139465,,,0.99996018409729
kin,0.9999872446060181,,0.9999615550041199,0.9998688101768494
lug,,,0.9999338388442993,0.9999879002571106
luo,,,0.9999737739562988,0.999708354473114
mos,0.9998841881752014,,0.9999526143074036,0.9999514222145081
nya,0.9998299479484558,,0.9999743700027466,0.9999774694442749
pcm,0.9999756217002869,,0.9999794960021973,0.9999807476997375
sna,0.999909520149231,,0.9999573826789856,0.9999217987060547
swa,0.9999729990959167,,0.9999733567237854,0.9999809265136719
tsn,0.9999573826789856,,,0.9999640583992004
twi,0.9999772906303406,,0.9999656677246094,0.9999886751174927
wol,0.9999517202377319,,0.9999642968177795,0.999874472618103
xho,0.9998165965080261,,0.999969482421875,
yor,0.9998948574066162,,,0.9999839067459106
zul,0.9999817609786987,,0.9999701976776123,
