,ORG,LOC,PER,DATE,Mean
lug,0.9819846,0.9890516,0.9975533,0.9609102,0.9823749
luo,0.989961,0.9343226,0.9908555,0.97419107,0.9723326
swa,0.9870995,0.95449793,0.9849452,0.95999455,0.9716343
twi,0.99137855,0.9362949,0.9921893,0.96462226,0.97112125
kin,0.98763436,0.91719294,0.9845109,0.97595555,0.96632344
ibo,0.982627,0.9028118,0.99206203,0.9769712,0.963618
ewe,0.9770199,0.9218813,0.9944654,0.9244648,0.9544579
sna,0.987149,0.85187346,0.9910539,0.9823309,0.95310175
nya,0.9903316,0.8704742,0.98789084,0.9517387,0.9501089
tsn,0.96726745,0.8727423,0.981459,0.9747599,0.94905716
bam,0.95068204,0.87266976,0.99218893,0.9642137,0.94493866
zul,0.9698447,0.8375577,0.98763824,0.9768216,0.94296557
fon,0.9739271,0.8531852,0.9903029,0.9507834,0.9420496
hau,0.9641672,0.8209971,0.99194366,0.98309124,0.94004977
pcm,0.9822942,0.9414997,0.9961734,0.82673985,0.93667674
mos,0.9639311,0.84092224,0.9924873,0.9345799,0.9329801
wol,0.9650355,0.79770803,0.99122083,0.97166467,0.9314073
xho,0.9554854,0.7786074,0.98812085,0.99213374,0.92858684
bbj,0.94144046,0.8013608,0.99024296,0.9140195,0.91176593
yor,0.949223,0.78102124,0.9283707,0.94560957,0.9010561
