,DATE,LOC,ORG,PER,Mean
lug,0.6230813,0.82018983,0.9022706,0.90848106,0.8135057
kin,0.61048776,0.85557234,0.8846432,0.8580031,0.8021766
luo,0.62089086,0.8172319,0.8474735,0.7983259,0.7709806
hau,0.64455026,0.79027975,0.7886982,0.8553281,0.76971406
sna,0.62953687,0.78260726,0.8866002,0.7397699,0.7596286
pcm,0.6246859,0.7707249,0.8374116,0.7976938,0.75762904
ibo,0.5996185,0.77178454,0.8215301,0.8182704,0.7528009
ewe,0.6586901,0.7836436,0.7908716,0.7645071,0.7494281
twi,0.6148378,0.77654374,0.8202134,0.7703881,0.74549574
wol,0.6168532,0.7305971,0.8257251,0.8064077,0.74489576
tsn,0.6385746,0.78566027,0.78648293,0.766032,0.7441874
mos,0.6145553,0.7378055,0.80991983,0.7985892,0.74021745
swa,0.6245161,0.7521694,0.7754805,0.7963416,0.7371269
nya,0.6166727,0.7935508,0.8801465,0.6553236,0.7364234
bam,0.6433018,0.7411814,0.73906565,0.7855227,0.72726786
bbj,0.60315317,0.71549517,0.77718985,0.7970507,0.7232222
yor,0.62618315,0.7170774,0.7852801,0.7356514,0.716048
zul,0.752887,0.6423593,0.70360774,0.6649854,0.6909599
xho,0.71755904,0.7060418,0.6516462,0.66984516,0.68627304
fon,0.6050886,0.7278837,0.71960723,0.66383916,0.6791046
