layer,model,rank_type,language,pearson
2,xlmr,top5,luo,0.9552540698029586
2,xlmr,top5,twi,0.9533879682612854
2,xlmr,top5,nya,0.9488089902141131
2,xlmr,top5,ewe,0.9485961160630592
2,xlmr,top5,sna,0.9484128537314401
2,xlmr,worst5,fon,0.9310208380280076
2,xlmr,worst5,hau,0.9311646812350333
2,xlmr,worst5,pcm,0.9345751678319262
2,xlmr,worst5,bbj,0.9365498471675188
2,xlmr,worst5,bam,0.9371059008962113
3,xlmr,top5,luo,0.9684065798601175
3,xlmr,top5,twi,0.9667610660625165
3,xlmr,top5,sna,0.9650844187439651
3,xlmr,top5,kin,0.9637151293088363
3,xlmr,top5,nya,0.9635554983517286
3,xlmr,worst5,pcm,0.9527094653754151
3,xlmr,worst5,bam,0.953608060262808
3,xlmr,worst5,hau,0.9538876633043671
3,xlmr,worst5,fon,0.9541291041657842
3,xlmr,worst5,bbj,0.9564165049951613
10,xlmr,top5,twi,0.9671805784115459
10,xlmr,top5,nya,0.9654205044909284
10,xlmr,top5,sna,0.9646810002298054
10,xlmr,top5,zul,0.962828149649605
10,xlmr,top5,luo,0.9626664637499296
10,xlmr,worst5,pcm,0.9463721056238618
10,xlmr,worst5,bbj,0.9532310402498797
10,xlmr,worst5,fon,0.9532916762459454
10,xlmr,worst5,hau,0.9542157940632381
10,xlmr,worst5,bam,0.9552060158220161
12,xlmr,top5,sna,0.9972620788009939
12,xlmr,top5,nya,0.9972136770763678
12,xlmr,top5,luo,0.9970348903138189
12,xlmr,top5,twi,0.9969891569145826
12,xlmr,top5,xho,0.9969256579302312
12,xlmr,worst5,pcm,0.9955360018242059
12,xlmr,worst5,fon,0.9956028420431629
12,xlmr,worst5,bbj,0.9958227722857047
12,xlmr,worst5,yor,0.996033492296166
12,xlmr,worst5,hau,0.9961209258993435
