,DATE,PER,ORG,LOC,Mean
ibo,0.9690307974815369,0.8555965423583984,0.9624230265617371,0.9478449821472168,0.9570605615516762
luo,0.966034471988678,0.8593616485595703,0.9597111940383911,0.9508377313613892,0.9562767302835142
zul,0.9572311043739319,0.8517596125602722,0.9681232571601868,0.9484003782272339,0.9551608794695371
kin,0.9680732488632202,0.8452811241149902,0.9679965972900391,0.9361774325370789,0.9545031716297199
hau,0.9609953165054321,0.8543680906295776,0.9651572704315186,0.9363613128662109,0.9515790087836129
tsn,0.9688675403594971,0.8658139705657959,0.9499327540397644,0.9393966197967529,0.9504746856627526
sna,0.9644038081169128,0.8540263175964355,0.9557523131370544,0.9380590319633484,0.9501744346185164
nya,0.9601407647132874,0.8734981417655945,0.9518712162971497,0.9394114017486572,0.9484750760066045
twi,0.940320611000061,0.8492729067802429,0.9678354263305664,0.9398981332778931,0.9467519490749805
wol,0.9528812170028687,0.8696889281272888,0.9565250277519226,0.9297427535057068,0.944390945620351
xho,0.9496225714683533,0.8525950908660889,0.9621884822845459,0.9257398843765259,0.943428099155426
lug,0.9502189755439758,0.8375077247619629,0.9638625979423523,0.9129365682601929,0.9396164804309993
bam,0.9588659405708313,0.8420217633247375,0.9082090258598328,0.9395655393600464,0.9331176126158083
mos,0.9039996266365051,0.8549087047576904,0.9609062075614929,0.9392686486244202,0.9326516815594265
fon,0.9120960235595703,0.848892867565155,0.9544337391853333,0.9284018874168396,0.9294945063529076
ewe,0.8729894161224365,0.848534107208252,0.9609916806221008,0.9212832450866699,0.9166061916908661
swa,0.9187769293785095,0.8485044240951538,0.9130973219871521,0.9062633514404297,0.9110447911473064
bbj,0.9035623073577881,0.8498843312263489,0.9437810778617859,0.8737426400184631,0.9055444064078393
yor,0.9187800288200378,0.8286620378494263,0.9446518421173096,0.851100742816925,0.9028654470072164
pcm,0.848141610622406,0.8528253436088562,0.9143868684768677,0.9227750301361084,0.8940030963389904
