,LOC,DATE,PER,ORG,Mean
twi,0.9748733639717102,,0.9893231391906738,0.9880287051200867,0.9840750694274902
nya,0.9776583909988403,,0.9915355443954468,0.9795228838920593,0.9829056064287821
mos,0.9775972962379456,,0.9856785535812378,0.9846672415733337,0.982647697130839
fon,0.9770311117172241,,0.9845190644264221,0.9853633046150208,0.9823044935862223
kin,0.9757572412490845,,0.985476553440094,0.984346866607666,0.9818602204322815
tsn,0.9744793176651001,,,0.9825822114944458,0.978530764579773
wol,0.967498779296875,,0.9897985458374023,0.9779946208000183,0.9784306486447653
zul,0.9687926769256592,,0.9822600483894348,0.9823307991027832,0.9777945081392924
bbj,0.9583361148834229,,0.9882327318191528,0.9851967096328735,0.9772551854451498
ewe,0.9595255255699158,,0.9862217903137207,0.9850011467933655,0.9769161542256674
pcm,0.9780977368354797,,0.9854990243911743,0.9646071195602417,0.9760679602622986
swa,0.979343831539154,,0.9882798194885254,0.9605183601379395,0.9760473370552063
lug,,,0.9807737469673157,0.969597578048706,0.9751856625080109
sna,0.9709823727607727,,0.9789205193519592,0.9752339124679565,0.9750456015268961
luo,,,0.9812436699867249,0.9678121209144592,0.974527895450592
xho,0.9720765352249146,,0.9691345691680908,0.9769937992095947,0.9727349678675333
ibo,0.9598907828330994,,,0.9844549894332886,0.972172886133194
hau,0.950127363204956,,0.9872117042541504,0.9731397032737732,0.9701595902442932
bam,0.9798638820648193,,0.9536110162734985,0.9541702270507812,0.9625483751296997
yor,0.9399163722991943,,,0.9800836443901062,0.9600000083446503
