,ORG,DATE,LOC,PER
bam,0.8988221287727356,,0.9640452861785889,0.9727509021759033
bbj,0.9502511620521545,,0.9076799154281616,0.966373085975647
ewe,0.9657934904098511,,0.9487809538841248,0.9675272107124329
fon,0.9569404125213623,,0.9523642659187317,0.9607429504394531
hau,0.9779617786407471,,0.9574743509292603,0.9761419296264648
ibo,0.9730656147003174,,0.9635400772094727,0.9767799377441406
kin,0.9827455282211304,,0.9757352471351624,0.978370726108551
lug,0.9702761173248291,,0.9735557436943054,0.9812778234481812
luo,0.9773988723754883,,0.9742799401283264,0.9729520678520203
mos,0.967741847038269,,0.9566760063171387,0.9685208201408386
nya,0.9808656573295593,,0.9619855880737305,0.9832555055618286
pcm,0.951777994632721,,0.9593613147735596,0.9761390686035156
sna,0.9770904779434204,,0.9537413120269775,0.9780340790748596
swa,0.9689944982528687,,0.9713446497917175,0.9724075794219971
tsn,0.9688426852226257,,0.9542376399040222,0.9737691283226013
twi,0.9823821783065796,,0.9749661087989807,0.9811077117919922
wol,0.967483401298523,,0.9434447884559631,0.9739021062850952
xho,0.9720550775527954,,0.9482131600379944,0.9407132863998413
yor,0.9533185958862305,,0.9176340103149414,0.9384267330169678
zul,0.9791315793991089,,0.9550760984420776,0.9683753252029419
