,DATE,LOC,ORG,PER
bam,0.9470056891441345,0.9444167613983154,0.8731505870819092,0.9574570059776306
bbj,0.8902544975280762,0.8590130805969238,0.938727855682373,0.9583374857902527
ewe,0.8622639775276184,0.926750898361206,0.9549371004104614,0.9493188858032227
fon,0.9111588597297668,0.9163604974746704,0.9487230777740479,0.9454998970031738
hau,0.9515991806983948,0.9225249290466309,0.9679983258247375,0.9650964736938477
ibo,0.9718823432922363,0.9300922155380249,0.9666220545768738,0.9645309448242188
kin,0.9630363583564758,0.9673052430152893,0.9756307601928711,0.9698761105537415
lug,0.9403877258300781,0.9583031535148621,0.9637020826339722,0.970938503742218
luo,0.956555962562561,0.9596881866455078,0.965387761592865,0.9538737535476685
mos,0.9030146598815918,0.9314675331115723,0.9567723274230957,0.9575791954994202
nya,0.9514541029930115,0.9310308694839478,0.9705687165260315,0.9755251407623291
pcm,0.847163736820221,0.9461591243743896,0.941074550151825,0.9672507047653198
sna,0.9651976227760315,0.9123269319534302,0.9692104458808899,0.9693762063980103
swa,0.9073602557182312,0.9585787653923035,0.9437169432640076,0.9574586153030396
tsn,0.9538745284080505,0.9266476631164551,0.9499542713165283,0.9622088670730591
twi,0.946070671081543,0.9616916179656982,0.9746407866477966,0.9707655310630798
wol,0.9471999406814575,0.9223490953445435,0.9598988890647888,0.9649173617362976
xho,0.9746173620223999,0.9032441973686218,0.9533257484436035,0.9455340504646301
yor,0.9090487957000732,0.8674163818359375,0.9461692571640015,0.9198521375656128
zul,0.9593056440353394,0.9292827844619751,0.9646556377410889,0.948458731174469
