,DATE,LOC,ORG,PER
bam,0.7814586162567139,0.7738528251647949,0.7800153493881226,0.881142795085907
bbj,0.6850284934043884,0.5362112522125244,0.7757760286331177,0.8939138650894165
ewe,0.5550961494445801,0.8393410444259644,0.879624605178833,0.8946977257728577
fon,0.7522871494293213,0.6657290458679199,0.8248410820960999,0.8801650404930115
hau,0.8805581331253052,0.7001567482948303,0.8823195695877075,0.8888083696365356
ibo,0.9050620794296265,0.8173636198043823,0.8836889266967773,0.8890124559402466
kin,0.8921921849250793,0.9098252654075623,0.9109606742858887,0.89803147315979
lug,0.7826198935508728,0.9067301750183105,0.8762396574020386,0.9745446443557739
luo,0.8625897765159607,0.887915849685669,0.8734931945800781,0.8995887637138367
mos,0.5968877673149109,0.7503288984298706,0.8372732400894165,0.8745507001876831
nya,0.8550513982772827,0.843492329120636,0.9120293259620667,0.9153244495391846
pcm,0.573462963104248,0.8491087555885315,0.8177964687347412,0.90826016664505
sna,0.9048008918762207,0.746790885925293,0.8899053335189819,0.903014063835144
swa,0.7848148941993713,0.9074872732162476,0.8450214862823486,0.9080401659011841
tsn,0.8731022477149963,0.8003407120704651,0.8744807839393616,0.8779202699661255
twi,0.8073866963386536,0.8748971223831177,0.9243460893630981,0.9227664470672607
wol,0.8566306233406067,0.7130377292633057,0.8791698813438416,0.8900116086006165
xho,0.9133529663085938,0.6328455805778503,0.8714978694915771,0.8648836612701416
yor,0.7142235636711121,0.5086744427680969,0.7877247333526611,0.7352863550186157
zul,0.8748930096626282,0.7749966382980347,0.9013198018074036,0.8277374505996704
