,PER,ORG,LOC,DATE
bam,0.9999994039535522,0.9999989867210388,0.9999991059303284,0.9999991655349731
bbj,0.9999997615814209,0.9999995827674866,0.999998152256012,0.9999992251396179
ewe,0.9999993443489075,0.9999997019767761,0.9999995231628418,0.9999988675117493
fon,0.9999989867210388,0.9999995231628418,0.9999980330467224,0.9999991655349731
hau,0.9999991059303284,0.9999994039535522,0.9999973773956299,0.9999974370002747
ibo,0.9999995231628418,0.9999995231628418,0.9999986886978149,0.999999463558197
kin,0.9999986290931702,0.9999997615814209,0.9999998211860657,0.9999991059303284
lug,0.9999993443489075,0.9999991059303284,0.9999997615814209,0.999998152256012
luo,0.9999991655349731,0.9999992847442627,0.9999994039535522,0.9999995231628418
mos,0.9999992251396179,0.9999996423721313,0.9999991059303284,0.9999977946281433
nya,0.9999992251396179,0.999999463558197,0.9999984502792358,0.9999982118606567
pcm,0.9999991059303284,0.9999988079071045,0.9999988079071045,0.9999953508377075
sna,0.9999997019767761,0.9999989867210388,0.9999983310699463,0.9999987483024597
swa,0.9999991059303284,0.9999990463256836,0.9999997019767761,0.9999975562095642
tsn,0.9999994039535522,0.9999988675117493,0.9999995231628418,0.9999992847442627
twi,0.9999995231628418,0.9999995827674866,0.9999997615814209,0.999999463558197
wol,0.9999997615814209,0.9999989867210388,0.9999979734420776,0.9999987483024597
xho,0.999999463558197,0.9999991059303284,0.9999985694885254,0.9999995231628418
yor,0.9999989867210388,0.9999996423721313,0.9999980926513672,0.9999990463256836
zul,0.9999991059303284,0.9999992847442627,0.9999993443489075,0.9999992847442627
