,LOC,ORG,PER,DATE
bam,,0.996992826461792,,
bbj,,0.9998155236244202,,
ewe,,0.9998840689659119,0.9997882843017578,
fon,,,0.999822199344635,
hau,,0.9377651214599609,0.9974827766418457,
ibo,0.9996800422668457,0.9995337128639221,,
kin,,0.9995769262313843,,
lug,,0.9997363686561584,0.999538004398346,
luo,,0.9997472167015076,0.9997004866600037,
mos,,0.9997509717941284,0.9997419714927673,
nya,,0.999879002571106,,
pcm,0.9993876814842224,,0.9996510744094849,
sna,0.9999261498451233,,0.9995405673980713,
swa,,,0.9998029470443726,
tsn,0.9998438358306885,0.9998334050178528,,
twi,,,0.9983513951301575,
wol,,0.9998658895492554,,
xho,0.9998714923858643,,0.9996086955070496,
yor,0.9996491074562073,0.9998220205307007,,
zul,0.9998111128807068,,,
