,ORG,DATE,LOC,PER
bam,0.9932004809379578,,,
bbj,0.9977235198020935,,,
ewe,0.9976021647453308,,,0.995887815952301
fon,,,,0.9783291816711426
hau,0.9990217685699463,,,0.9995927214622498
ibo,0.9997017979621887,,0.9992983341217041,
kin,0.996311366558075,,,
lug,0.9985294938087463,,,0.9989320039749146
luo,0.9978842735290527,,,0.9993886351585388
mos,0.999173641204834,,,0.9985544681549072
nya,0.9973448514938354,,,
pcm,,,0.9994432926177979,0.9994685649871826
sna,,,0.998859703540802,0.9992320537567139
swa,,,,0.9988576173782349
tsn,0.9992971420288086,,0.9966346025466919,
twi,,,,0.9982101321220398
wol,0.9979663491249084,,,
xho,,,0.9929701089859009,0.9920707941055298
yor,0.9995571970939636,,0.996359646320343,
zul,,,0.9819141626358032,
