,PER,DATE,ORG,LOC
bam,0.8942838311195374,,0.8945994973182678,0.8769311308860779
bbj,0.9254388213157654,,0.8989442586898804,0.7764545679092407
ewe,0.9126270413398743,,0.8928237557411194,0.8712509870529175
fon,0.9174152612686157,,0.9185881614685059,0.8624763488769531
hau,0.9521784782409668,,0.9367699027061462,0.8532494902610779
ibo,,,0.933961033821106,0.8683457970619202
kin,0.9595726728439331,,0.8916131258010864,0.8875269889831543
lug,0.9313545227050781,,0.9442171454429626,
luo,0.9176884889602661,,0.8653889894485474,
mos,0.9270853996276855,,0.9209424257278442,0.8847562074661255
nya,0.9484866857528687,,0.9050681591033936,0.8500120043754578
pcm,0.9378089904785156,,0.8839637637138367,0.8527514338493347
sna,0.9501107931137085,,0.9337009787559509,0.8547489047050476
swa,0.9060828685760498,,0.8584312796592712,0.8605797290802002
tsn,,,0.928331196308136,0.8501595258712769
twi,0.9573946595191956,,0.9471579790115356,0.9049188494682312
wol,0.9390667676925659,,0.9125283360481262,0.8665093779563904
xho,0.8840580582618713,,0.8963631391525269,0.8278524279594421
yor,,,0.9035959839820862,0.7257239818572998
zul,0.9047566056251526,,0.9256517887115479,0.8471889495849609
