,ORG,PER,LOC,DATE,Mean
kin,0.9741380214691162,0.8602167963981628,0.9649000763893127,0.9680640697479248,0.967320398239326
luo,0.9628835320472717,0.8584298491477966,0.9532447457313538,0.972468376159668,0.9612208945857571
nya,0.9726681113243103,0.8656575679779053,0.9420880675315857,0.9611085057258606,0.9571575616288373
twi,0.9746273159980774,0.8552768230438232,0.9404996037483215,0.951826810836792,0.9540705439925506
zul,0.9691612124443054,0.8564773797988892,0.9220380187034607,0.9710988402366638,0.9525620031544543
ibo,0.9692139029502869,0.8577161431312561,0.911645233631134,0.9803410172462463,0.9522213020662623
lug,0.9650812745094299,0.8590421080589294,0.9552401304244995,0.9395049810409546,0.9517914721659162
tsn,0.9558408260345459,0.862250030040741,0.9221611618995667,0.9718481302261353,0.9485689368773633
hau,0.967941164970398,0.8719543218612671,0.9029515981674194,0.9701769948005676,0.9458410647597526
sna,0.9714665412902832,0.8636479377746582,0.8936634659767151,0.9747475385665894,0.9453191098578646
wol,0.9602806568145752,0.8654070496559143,0.9119131565093994,0.9631475806236267,0.9438585735994374
xho,0.9571365714073181,0.8623983263969421,0.8900928497314453,0.9833630323410034,0.9422531407962008
swa,0.940937340259552,0.8349167108535767,0.952841579914093,0.9344545602798462,0.9410464181674747
bam,0.9311200976371765,0.8519076704978943,0.9154987335205078,0.9560049772262573,0.9329118689527036
mos,0.9580816626548767,0.8589469790458679,0.9102760553359985,0.9162124395370483,0.9270996104075214
ewe,0.9589757323265076,0.8644214272499084,0.9266319870948792,0.877659797668457,0.920196766928425
pcm,0.9460034966468811,0.8485667109489441,0.9350184798240662,0.8769649863243103,0.9182146210370101
fon,0.9413424134254456,0.8465881943702698,0.8885021805763245,0.9195244908332825,0.9153560755133942
yor,0.9497835040092468,0.8223108053207397,0.853182315826416,0.9267433881759644,0.9085236636046662
bbj,0.9298930764198303,0.8573246598243713,0.8361530303955078,0.9020466804504395,0.8888597017510982
