,PER,ORG,LOC,DATE
bam,0.9408423900604248,0.8881747722625732,0.912806510925293,0.9336043000221252
bbj,0.9384905695915222,0.9016429781913757,0.8046467304229736,0.8654085993766785
ewe,0.950214147567749,0.9398906230926514,0.9030019044876099,0.8428533673286438
fon,0.9353616833686829,0.9079119563102722,0.8698086738586426,0.8967852592468262
hau,0.9588657021522522,0.955790638923645,0.8758268356323242,0.9517046213150024
ibo,0.952168345451355,0.9473536014556885,0.8939310312271118,0.9687167406082153
kin,0.9613929986953735,0.9660744071006775,0.9612560868263245,0.9492120146751404
lug,0.9839929342269897,0.9568195939064026,0.9409053325653076,0.9217057228088379
luo,0.9464641213417053,0.9486317038536072,0.9431677460670471,0.9560540914535522
mos,0.947654664516449,0.937645673751831,0.9058870673179626,0.882747232913971
nya,0.9675584435462952,0.9616397619247437,0.918144166469574,0.9360887408256531
pcm,0.9483872056007385,0.9240572452545166,0.9080634117126465,0.821618378162384
sna,0.9652433395385742,0.9562796354293823,0.8692876696586609,0.951201856136322
swa,0.9221997261047363,0.9033471941947937,0.9087193012237549,0.8719657063484192
tsn,0.9532483220100403,0.946204662322998,0.9016469120979309,0.9532962441444397
twi,0.9574093818664551,0.9621583223342896,0.9371195435523987,0.9328182935714722
wol,0.9536453485488892,0.9490127563476562,0.8959195613861084,0.9457228183746338
xho,0.9292631149291992,0.9378909468650818,0.8586891293525696,0.9724134206771851
yor,0.882134735584259,0.923147439956665,0.8127924799919128,0.8823376893997192
zul,0.9300062656402588,0.9547522664070129,0.8859320282936096,0.9457593560218811
