,DATE,PER,LOC,ORG,Mean
kin,0.9650923609733582,0.9154444932937622,0.9783296585083008,0.9738926887512207,0.9715406968211877
luo,0.9729341268539429,0.9114571809768677,0.9690420627593994,0.9695497155189514,0.9695786908855588
twi,0.9547608494758606,0.9190956950187683,0.96983802318573,0.9800616502761841,0.9674465604654447
nya,0.9564509987831116,0.917587399482727,0.9610117673873901,0.963369607925415,0.95960517364537
tsn,0.9731786847114563,0.9105443954467773,0.9504868388175964,0.9489374160766602,0.9567943144970992
ibo,0.9819046258926392,0.9100375175476074,0.9142327308654785,0.9750679135322571,0.9563277792429986
zul,0.9769482016563416,0.9063978791236877,0.9271630048751831,0.9669765830039978,0.9562319185477229
swa,0.9344472289085388,0.9033305644989014,0.9784601926803589,0.947234570980072,0.9525924736433454
hau,0.976808488368988,0.909812331199646,0.9168769121170044,0.9660318493843079,0.952555197430408
sna,0.9837353229522705,0.9105724096298218,0.8935486078262329,0.9682700037956238,0.9479204101825324
lug,0.9111176133155823,0.9075867533683777,0.9733843803405762,0.9556490778923035,0.9461007991175013
wol,0.9580803513526917,0.9168655872344971,0.9251035451889038,0.9545506834983826,0.9454541103107723
bam,0.9535335302352905,0.9037567377090454,0.94474196434021,0.9368472099304199,0.9443907571902738
xho,0.9824674129486084,0.9064589738845825,0.8816345930099487,0.9486365914344788,0.9370894449276561
fon,0.9298567771911621,0.8926250338554382,0.904086709022522,0.9537966251373291,0.9286699845722028
mos,0.8958646655082703,0.8980852961540222,0.9231189489364624,0.9656779170036316,0.9277459401783981
pcm,0.8555148839950562,0.9207360148429871,0.9640359282493591,0.953651487827301,0.9243430540630511
ewe,0.8359503149986267,0.9029710292816162,0.9530203938484192,0.9621626734733582,0.9168228319310766
yor,0.918849766254425,0.8554747700691223,0.850039541721344,0.9515489935874939,0.9060042947921854
bbj,0.9016249775886536,0.9107000231742859,0.8677040338516235,0.9330280423164368,0.900941815901929
