,LOC,ORG,PER,DATE
bam,0.9831975698471069,0.9660944938659668,0.9021039605140686,
bbj,0.9733135104179382,0.9848411083221436,0.912928581237793,
ewe,0.9841934442520142,0.9876172542572021,0.918664276599884,
fon,0.978573739528656,0.9836986064910889,0.9065327644348145,
hau,0.9440596103668213,0.9788398742675781,0.9119786620140076,
ibo,0.9789978861808777,0.9849772453308105,0.9109582901000977,
kin,0.9770913124084473,0.9694387912750244,0.900956928730011,
lug,0.973459780216217,0.9694672226905823,0.8867559432983398,
luo,0.9813575744628906,0.9681783318519592,0.9270229935646057,
mos,0.9806874394416809,0.9826117753982544,0.9054404497146606,
nya,0.9768936634063721,0.9827449917793274,0.9139014482498169,
pcm,0.9846053123474121,0.9659499526023865,0.9219805002212524,
sna,0.9843147397041321,0.973600447177887,0.9185563921928406,
swa,0.9754957556724548,0.9642602801322937,0.9108633399009705,
tsn,0.976466953754425,0.9803674817085266,0.9173936247825623,
twi,0.9749587774276733,0.9896565079689026,0.9186302423477173,
wol,0.9716694355010986,0.972636342048645,0.9083211421966553,
xho,0.9773058891296387,0.9794609546661377,0.9028650522232056,
yor,0.9651950597763062,0.9779573678970337,0.9089940786361694,
zul,0.9803934097290039,0.9818620085716248,0.9043504595756531,
