,ORG,DATE,PER,LOC,Mean
lug,0.9999924302101135,0.9999889731407166,0.9999925494194031,0.9999904632568359,0.9999911040067673
ibo,0.9999856352806091,0.9999923706054688,0.9999903440475464,0.9999907612800598,0.999989777803421
nya,0.9999904036521912,0.999987006187439,0.9999905824661255,0.9999892115592957,0.9999893009662628
tsn,0.9999940395355225,0.999987781047821,0.9999927878379822,0.9999824166297913,0.9999892562627792
twi,0.9999926090240479,0.9999868273735046,0.9999876022338867,0.9999879598617554,0.9999887496232986
ewe,0.9999889135360718,0.999987006187439,0.9999883770942688,0.999984622001648,0.9999872297048569
luo,0.9999846816062927,0.9999868869781494,0.9999858140945435,0.9999892711639404,0.9999866634607315
sna,0.999988853931427,0.9999807476997375,0.9999889731407166,0.9999875426292419,0.9999865293502808
bam,0.9999815225601196,0.9999892115592957,0.9999857544898987,0.9999839663505554,0.9999851137399673
kin,0.9999866485595703,0.9999853372573853,0.9999776482582092,0.9999882578849792,0.999984472990036
zul,0.9999844431877136,0.9999807476997375,0.9999852180480957,0.9999805688858032,0.9999827444553375
xho,0.9999862313270569,0.9999846816062927,0.9999766945838928,0.9999809265136719,0.9999821335077286
hau,0.9999808073043823,0.9999762177467346,0.9999855756759644,0.9999821782112122,0.9999811947345734
wol,0.9999825954437256,0.9999739527702332,0.9999833703041077,0.9999759197235107,0.9999789595603943
mos,0.9999821782112122,0.9999646544456482,0.9999883770942688,0.9999786615371704,0.9999784678220749
fon,0.999983012676239,0.9999735951423645,0.9999772906303406,0.999979555606842,0.9999783635139465
yor,0.9999797344207764,0.9999802708625793,0.9999772906303406,0.9999756217002869,0.9999782294034958
swa,0.9999793171882629,0.9999642968177795,0.9999822378158569,0.9999756217002869,0.9999753683805466
bbj,0.9999775290489197,0.9999730587005615,0.9999784827232361,0.9999703764915466,0.999974861741066
pcm,0.9999716281890869,0.999946117401123,0.9999796152114868,0.9999724626541138,0.9999674558639526
