,LOC,ORG,PER,DATE
bam,0.9999961853027344,0.999958336353302,,
bbj,0.9999819993972778,0.9999940395355225,,
ewe,,0.9999886751174927,0.9999863505363464,
fon,0.9999947547912598,0.9999971389770508,0.9999911785125732,
hau,,0.9999977946281433,0.9999891519546509,
ibo,0.999994695186615,0.9999966621398926,,
kin,0.9999568462371826,0.9999974370002747,,
lug,,0.9999872446060181,0.9999899864196777,
luo,,0.9999940395355225,0.9999815225601196,
mos,,0.9999971389770508,0.9999860525131226,
nya,0.9999939203262329,0.9999954700469971,,
pcm,0.9999606609344482,,0.9999546408653259,
sna,0.999993622303009,,0.9999914169311523,
swa,0.9999836683273315,,0.9999893307685852,
tsn,0.9999850988388062,0.9999753832817078,,
twi,0.9999921321868896,0.9999985098838806,0.9999872446060181,
wol,0.9999954700469971,0.9999919533729553,,
xho,0.9999970197677612,,0.999994158744812,
yor,0.9999966621398926,0.9999955892562866,,
zul,0.9999936819076538,,,
