,LOC,ORG,DATE,PER
bam,0.9677565693855286,0.9608660936355591,,0.9815884828567505
bbj,0.9413177371025085,0.976166307926178,,0.9765293002128601
ewe,0.958936333656311,0.985369861125946,,0.9798242449760437
fon,0.9586896300315857,0.9838677048683167,,0.981243371963501
hau,0.944283664226532,0.978821337223053,,0.9808229804039001
ibo,0.9499515891075134,0.9844300746917725,,0.9837196469306946
kin,0.9776952862739563,0.9860917329788208,,0.9795381426811218
lug,0.9791817665100098,0.9789299964904785,,0.9820358753204346
luo,0.9782764315605164,0.967949628829956,,0.9781762361526489
mos,0.9644439816474915,0.9844985604286194,,0.985109806060791
nya,0.9659668803215027,0.9829657077789307,,0.9880499243736267
pcm,0.9605490565299988,0.9618467092514038,,0.9827330112457275
sna,0.9653746485710144,0.9852879643440247,,0.9775769114494324
swa,0.952072024345398,0.9674516320228577,,0.9731910824775696
tsn,0.9633525609970093,0.9840525388717651,,0.9826973676681519
twi,0.9764983654022217,0.9900677800178528,,0.9864681363105774
wol,0.9529294371604919,0.9790814518928528,,0.9854544401168823
xho,0.9579935073852539,0.9769170880317688,,0.9661042094230652
yor,0.9281200766563416,0.9789862632751465,,0.9761716723442078
zul,0.9654203653335571,0.9864668250083923,,0.978326678276062
