,DATE,LOC,PER,ORG,Mean
sna,,0.9844877123832703,0.990393877029419,0.9873244166374207,0.9874020020167033
hau,,0.9745152592658997,0.9930232763290405,0.9852915406227112,0.9842766920725504
kin,,0.970008373260498,0.9947142004966736,0.9807527661323547,0.9818251132965088
lug,,0.9630398154258728,0.991782546043396,0.9898719191551208,0.9815647602081299
mos,,0.9787343740463257,0.9849000573158264,0.9784588813781738,0.980697770913442
zul,,0.9777363538742065,0.9772723317146301,0.9839485883712769,0.9796524246533712
twi,,0.9677622318267822,0.9833194613456726,0.9844312071800232,0.9785043001174927
tsn,,0.9666002988815308,0.9832754135131836,0.9811601042747498,0.9770119388898214
ibo,,0.9654402732849121,0.9877804517745972,0.9756658673286438,0.976295530796051
xho,,0.9714750647544861,0.9668180346488953,0.9867330193519592,0.9750087062517802
nya,,0.9585278034210205,0.9854040145874023,0.978541910648346,0.9741579095522562
wol,,0.9700650572776794,0.9732503890991211,0.977425217628479,0.9735802213350931
luo,,0.9670047163963318,0.9788244366645813,0.9738759994506836,0.9732350508371989
ewe,,0.962307333946228,0.9662076234817505,0.9597113132476807,0.9627420902252197
bam,,0.9477255940437317,0.9770666360855103,0.9571418166160583,0.9606446822484335
fon,,0.9494572281837463,0.9587012529373169,0.9674338102340698,0.9585307637850443
pcm,,0.9454407691955566,0.9677236676216125,0.9612531661987305,0.9581392010052999
swa,,0.9415804743766785,0.9542149901390076,0.9498077630996704,0.9485344092051188
bbj,,0.9265424609184265,0.9608451724052429,0.954703688621521,0.9473637739817301
yor,,0.9129713177680969,0.9273076057434082,0.9617258906364441,0.934001604715983
