,LOC,ORG,DATE,PER
bam,0.9999774694442749,0.9999476075172424,,0.9999831914901733
bbj,0.9999547600746155,0.9999750256538391,,0.9999853372573853
ewe,0.9999656677246094,0.9999806880950928,,0.9999760985374451
fon,0.999975323677063,0.9999778866767883,,0.9999741315841675
hau,0.9999388456344604,0.9999579787254333,,0.9999747276306152
ibo,0.9999634623527527,0.9999804496765137,,0.999984622001648
kin,0.9999646544456482,0.9999362230300903,,0.9999731183052063
lug,0.9999791383743286,0.9999576210975647,,0.9999709129333496
luo,0.9999845623970032,0.9999661445617676,,0.9999893307685852
mos,0.9999721646308899,0.9999692440032959,,0.999977171421051
nya,0.9999734163284302,0.9999586343765259,,0.9999889731407166
pcm,0.999961793422699,0.9999580979347229,,0.9999879598617554
sna,0.9999614953994751,0.9999623894691467,,0.9999868869781494
swa,0.9999720454216003,0.999943733215332,,0.9999810457229614
tsn,0.9999425411224365,0.999970018863678,,0.9999837875366211
twi,0.9999840259552002,0.9999805092811584,,0.9999880790710449
wol,0.9999455213546753,0.9999524354934692,,0.9999864101409912
xho,0.9999520182609558,0.9999756217002869,,0.9999582171440125
yor,0.9999408721923828,0.99996417760849,,0.999981164932251
zul,0.9999668002128601,0.9999663829803467,,0.9999772906303406
