,LOC,DATE,ORG,PER
bam,0.9896905422210693,0.9849675893783569,0.9767157435417175,0.9740971922874451
bbj,0.9676713347434998,0.9760770201683044,0.9781571626663208,0.9704161882400513
ewe,0.9866495132446289,0.9770333170890808,0.9891982674598694,0.9769040942192078
fon,0.9895658493041992,0.9573362469673157,0.9818410277366638,0.9763429760932922
hau,0.9927858114242554,0.987419068813324,0.986002504825592,0.9807833433151245
ibo,0.991672158241272,0.9897880554199219,0.9868878722190857,0.9804785251617432
kin,0.9911153316497803,0.9894307851791382,0.9901455640792847,0.9794107675552368
lug,0.9870540499687195,0.988666296005249,0.9936642646789551,0.9807740449905396
luo,0.9904041886329651,0.9897851943969727,0.9882006645202637,0.9817579984664917
mos,0.9927635788917542,0.9739397764205933,0.988538920879364,0.9797281622886658
nya,0.9897254705429077,0.989916205406189,0.9886031746864319,0.9842880964279175
pcm,0.9834369421005249,0.9649055600166321,0.9820283651351929,0.9783450961112976
sna,0.9935925602912903,0.9849238395690918,0.9929543137550354,0.9784640669822693
swa,0.9879541397094727,0.984836757183075,0.9813117384910583,0.9836405515670776
tsn,0.9847428202629089,0.9905512928962708,0.9848073720932007,0.980384349822998
twi,0.99161297082901,0.9803535342216492,0.9913634657859802,0.9802290201187134
wol,0.9930583238601685,0.9739643931388855,0.984686017036438,0.9851440191268921
xho,0.992992639541626,0.9894740581512451,0.9894975423812866,0.976536750793457
yor,0.9723743200302124,0.9767751097679138,0.9776373505592346,0.9659532308578491
zul,0.9868850111961365,0.9910159111022949,0.9924571514129639,0.9837487936019897
