,LOC,ORG,PER,DATE
bam,0.9999973177909851,0.9999768137931824,0.9999982714653015,
bbj,0.9999768733978271,0.9999956488609314,0.999997079372406,
ewe,0.9999927878379822,0.9999979734420776,0.9999887943267822,
fon,0.9999980330467224,0.999997079372406,0.9999970197677612,
hau,0.9999929666519165,0.9999807476997375,0.999992847442627,
ibo,0.99998939037323,0.999997615814209,0.9999991059303284,
kin,0.9999850392341614,0.999998927116394,0.9999982714653015,
lug,0.9999825358390808,0.9999855756759644,0.9999990463256836,
luo,0.9999876618385315,0.9999935626983643,0.9999982118606567,
mos,0.9999929666519165,0.9999990463256836,0.9999905228614807,
nya,0.9999902248382568,0.9999968409538269,0.9999988079071045,
pcm,0.9999878406524658,0.9999958872795105,0.9999983906745911,
sna,0.9999940991401672,0.9999964833259583,0.9999975562095642,
swa,0.9999817609786987,0.9999971985816956,0.9999985098838806,
tsn,0.9999886751174927,0.9999910593032837,0.9999980926513672,
twi,0.9999921321868896,0.9999983906745911,0.9999979138374329,
wol,0.9999862313270569,0.9999986886978149,0.9999987483024597,
xho,0.9999909400939941,0.9999948143959045,0.9999976754188538,
yor,0.9999964237213135,0.9999940395355225,0.9999975562095642,
zul,0.9999908804893494,0.999998152256012,0.999994695186615,
