,ORG,PER,LOC,DATE,Mean
twi,0.9763451814651489,0.9809699654579163,0.9483649730682373,,0.9685600399971008
nya,0.9749002456665039,0.9825783371925354,0.9464994072914124,,0.9679926633834839
kin,0.9754683971405029,0.978370726108551,0.9497151970863342,,0.967851440111796
lug,0.9719720482826233,0.9674950838088989,0.9509910345077515,,0.9634860555330912
hau,0.9716854691505432,0.9772109985351562,0.9413149952888489,,0.9634038209915161
zul,0.9777372479438782,0.9683753252029419,0.941329836845398,,0.9624808033307394
swa,0.9621714949607849,0.9724075794219971,0.9526752829551697,,0.9624181191126505
luo,0.9574467539787292,0.9735780358314514,0.9556469321250916,,0.9622239073117574
sna,0.9724225401878357,0.9718980193138123,0.9419186115264893,,0.9620797236760458
ibo,0.9700829386711121,0.9767799377441406,0.9372844099998474,,0.9613824288050333
tsn,0.9688850045204163,0.9737691283226013,0.9411073327064514,,0.961253821849823
mos,0.9646002650260925,0.9696766138076782,0.942315399646759,,0.9588640928268433
wol,0.9644129276275635,0.9739021062850952,0.9337318539619446,,0.9573489626248678
fon,0.962443470954895,0.9621317386627197,0.9446587562561035,,0.9564113219579061
ewe,0.9639467000961304,0.9675272107124329,0.9276476502418518,,0.9530405203501383
pcm,0.9509767889976501,0.9761390686035156,0.9307865500450134,,0.9526341358820597
xho,0.9701384902000427,0.9407132863998413,0.931348979473114,,0.9474002520243326
bam,0.8974500894546509,0.9721932411193848,0.9480719566345215,,0.939238429069519
bbj,0.9473103284835815,0.966373085975647,0.8919038772583008,,0.9351957639058431
yor,0.9489417672157288,0.9355524778366089,0.8598994612693787,,0.9147979021072388
