,PER,ORG,LOC,DATE
bam,,0.9606923460960388,0.9809028506278992,
bbj,,0.9853039979934692,0.956638753414154,
ewe,0.9832634925842285,0.9818512797355652,,
fon,0.9806905388832092,0.9843629598617554,0.9755863547325134,
hau,0.9841238856315613,0.9726905226707458,0.9460259079933167,
ibo,,0.9788851737976074,0.9591100215911865,
kin,0.9849091172218323,0.9685595631599426,0.971632182598114,
lug,0.9817639589309692,0.9652258157730103,,
luo,0.9623581171035767,0.9668874144554138,,
mos,0.971339762210846,0.9835776686668396,,
nya,0.9902464151382446,0.977466881275177,0.9793978929519653,
pcm,0.9843116402626038,0.9524296522140503,0.9769738912582397,
sna,0.9771593809127808,0.9691014885902405,0.974364697933197,
swa,0.9870998859405518,0.9573085308074951,0.9763178825378418,
tsn,,0.9799636602401733,0.973461389541626,
twi,0.9860944747924805,0.9862670302391052,0.9728292226791382,
wol,0.9880443215370178,0.9752352237701416,0.9644400477409363,
xho,0.9661796689033508,,0.9706476926803589,
yor,,0.9774936437606812,0.9370778203010559,
zul,0.9813841581344604,,0.9651450514793396,
