,PER,LOC,DATE,ORG,Mean
kin,0.9961159825325012,0.9922600388526917,0.9811808466911316,0.9911291003227234,0.990171492099762
lug,0.9965742826461792,0.9867253303527832,0.980799674987793,0.9942229986190796,0.9895805716514587
nya,0.9939226508140564,0.9903771281242371,0.9789350032806396,0.9945271015167236,0.9894404709339142
xho,0.9826945066452026,0.985158383846283,0.9904454350471497,0.9912351369857788,0.9873833656311035
luo,0.9828704595565796,0.9918635487556458,0.9870398640632629,0.9872534871101379,0.9872568398714066
tsn,0.9908066987991333,0.9818810224533081,0.9862492680549622,0.9876493811607361,0.9866465926170349
sna,0.9941903948783875,0.9937853813171387,0.9657207727432251,0.9927098751068115,0.9866016060113907
hau,0.9900481104850769,0.9837571978569031,0.982733428478241,0.9872270822525024,0.9859414547681808
ibo,0.9909154176712036,0.9809306859970093,0.9880793690681458,0.9826136827468872,0.9856347888708115
zul,0.9912401437759399,0.9734432697296143,0.9832950830459595,0.9910120368003845,0.9847476333379745
twi,0.984948992729187,0.9849205017089844,0.974251389503479,0.9880949854850769,0.9830539673566818
wol,0.9858796000480652,0.981339156627655,0.9791592359542847,0.9852902293205261,0.9829170554876328
mos,0.9886417984962463,0.9858079552650452,0.9676989316940308,0.9878148436546326,0.9824908822774887
ewe,0.984097957611084,0.9803852438926697,0.9746451377868652,0.9830085635185242,0.9805342257022858
bam,0.9872314929962158,0.9787018895149231,0.9780756831169128,0.97238689661026,0.9790989905595779
swa,0.9743787050247192,0.9738157987594604,0.9702641367912292,0.9726237058639526,0.9727705866098404
pcm,0.97444748878479,0.9740371704101562,0.9539595246315002,0.9766588807106018,0.9697757661342621
fon,0.9678130745887756,0.9720756411552429,0.9397529363632202,0.9690167307853699,0.9621645957231522
yor,0.9569822549819946,0.9450534582138062,0.9714528322219849,0.9742368459701538,0.9619313478469849
bbj,0.9713578820228577,0.9387038350105286,0.9649004340171814,0.9632736444473267,0.9595589488744736
