,LOC,DATE,PER,ORG,Mean
xho,0.9999724626541138,0.9999815225601196,0.9999410510063171,0.9999822378158569,0.9999777620488947
lug,0.9999818205833435,0.999961256980896,0.9999547600746155,0.99998539686203,0.9999756023481294
zul,0.9999771118164062,0.9999609589576721,0.9999714493751526,0.9999855756759644,0.9999744683117061
kin,0.9999872446060181,0.9999560117721558,0.9999517202377319,0.9999816417694092,0.9999743622618836
nya,0.9999872446060181,0.9999523758888245,0.9999696612358093,0.99997478723526,0.9999714222821322
hau,0.999979555606842,0.9999584555625916,0.9999573230743408,0.9999717473983765,0.999969592342129
tsn,0.9999759793281555,0.9999666213989258,0.9999644756317139,0.9999644160270691,0.9999688879235998
ibo,0.9999747276306152,0.9999685287475586,0.9999597668647766,0.9999561905860901,0.999966307893976
luo,0.9999774098396301,0.9999666213989258,0.9999619126319885,0.9999524354934692,0.9999653960203195
sna,0.9999614357948303,0.9999340772628784,0.9999523162841797,0.9999849200248718,0.9999599410341932
twi,0.999967634677887,0.9999414682388306,0.9999608397483826,0.9999682903289795,0.9999591754628466
mos,0.9999722242355347,0.9999380707740784,0.9999579787254333,0.9999669194221497,0.99995904309409
wol,0.9999787211418152,0.9999439716339111,0.9999521970748901,0.9999533891677856,0.9999585252303582
bam,0.9999662041664124,0.9999555945396423,0.9999500513076782,0.9999542832374573,0.9999584694961449
swa,0.9999687671661377,0.999940037727356,0.9999547004699707,0.999944269657135,0.9999511203208526
ewe,0.9999687075614929,0.9999353289604187,0.999952495098114,0.9999480247497559,0.9999507340517911
bbj,0.9999468326568604,0.9999178051948547,0.9999344944953918,0.9999305605888367,0.999931804545514
fon,0.9999679327011108,0.9998534321784973,0.9999299049377441,0.9999483823776245,0.9999234219650169
yor,0.9999340772628784,0.9998936057090759,0.9999350309371948,0.9999178051948547,0.9999156787798003
pcm,0.9999553561210632,0.9998842477798462,0.9999278783798218,0.9999006986618042,0.9999138093613958
