,LOC,ORG,DATE,PER,Mean
lug,0.99073976,0.9849466,0.95942354,0.99756086,0.98316765
luo,0.93417394,0.99108225,0.97467655,0.9897758,0.9724271
twi,0.92974997,0.99226993,0.9676462,0.9915304,0.9702991
swa,0.95052415,0.9871147,0.96067023,0.9818808,0.9700475
kin,0.91788554,0.9865182,0.9744265,0.9851461,0.96599406
ibo,0.89806706,0.9834258,0.97859055,0.9926747,0.9631895
tsn,0.86950004,0.98507607,0.9758563,0.9869599,0.9543481
ewe,0.91724354,0.97998124,0.924657,0.99360937,0.9538728
sna,0.84532356,0.98774105,0.9837665,0.99024236,0.9517684
nya,0.86807096,0.99191946,0.95464885,0.98799926,0.9506596
bam,0.8663503,0.9504088,0.9642081,0.99188703,0.9432136
zul,0.82560897,0.97177184,0.97600645,0.98842627,0.94045335
fon,0.8444962,0.97579986,0.95044416,0.9905218,0.9403155
hau,0.8088928,0.96470845,0.9825921,0.992229,0.9371056
pcm,0.9325175,0.98232377,0.8231416,0.9961573,0.933535
mos,0.8295047,0.96583414,0.9338325,0.99172556,0.9302242
wol,0.78699553,0.9631143,0.96982443,0.99131477,0.92781234
xho,0.7731677,0.9518638,0.9920537,0.9876922,0.92619437
bbj,0.7810833,0.9463611,0.91550153,0.9887545,0.9079251
yor,0.77355075,0.9340879,0.94451684,0.9280988,0.8950635
