,LOC,ORG,PER,DATE,Mean
lug,0.9227293133735657,0.8733960390090942,0.9805649518966675,0.8613406419754028,0.9095077365636826
kin,0.9117507934570312,0.9229207038879395,0.8889532685279846,0.906531572341919,0.9075390845537186
nya,0.8839524388313293,0.9212201237678528,0.9275634288787842,0.8698931336402893,0.9006572812795639
twi,0.9107179641723633,0.9284745454788208,0.9298757314682007,0.8250213265419006,0.8985223919153214
luo,0.9062201976776123,0.8901863098144531,0.8857956528663635,0.8738828897476196,0.8890212625265121
ibo,0.8027070164680481,0.8954234719276428,0.9072360992431641,0.9164607524871826,0.8804568350315094
tsn,0.8516215085983276,0.8781535029411316,0.8848587870597839,0.8965669870376587,0.8778001964092255
swa,0.9396405220031738,0.8190770149230957,0.8860058784484863,0.8244147300720215,0.8672845363616943
sna,0.7386628985404968,0.8755563497543335,0.9165312051773071,0.9106081128120422,0.8603396415710449
zul,0.8281787633895874,0.8899805545806885,0.8285607099533081,0.8899962902069092,0.8591790795326233
hau,0.7322254180908203,0.8879824876785278,0.9013330936431885,0.8996009230613708,0.8552854806184769
wol,0.7703804969787598,0.8772463798522949,0.8967204093933105,0.8748273849487305,0.8547936677932739
xho,0.7045378684997559,0.8676736950874329,0.8817301392555237,0.9122524857521057,0.8415485471487045
bam,0.8257384300231934,0.755685567855835,0.8780852556228638,0.821197509765625,0.8201766908168793
fon,0.7470435500144958,0.8703612685203552,0.8937391638755798,0.7668546438217163,0.8194996565580368
ewe,0.8471015691757202,0.8808706998825073,0.907071590423584,0.6003767848014832,0.8088551610708237
pcm,0.9055793285369873,0.8198809027671814,0.9110362529754639,0.5939372777938843,0.8076084405183792
mos,0.7788993716239929,0.8540915250778198,0.8745293617248535,0.6957768201828003,0.8008242696523666
bbj,0.6339014768600464,0.8258445262908936,0.9060627222061157,0.7269369959831238,0.7731864303350449
yor,0.6224149465560913,0.8228181004524231,0.7689611911773682,0.747768759727478,0.7404907494783401
