,LOC,PER,ORG,DATE,Mean
lug,0.6703399,0.7050626,0.6424543,0.532794,0.6376627
luo,0.5760124,0.6657602,0.66136557,0.5379746,0.6102782
kin,0.5793316,0.6263932,0.64337015,0.56759214,0.60417175
twi,0.5665706,0.6406205,0.66049844,0.5310092,0.5996747
ibo,0.53107697,0.63937676,0.642614,0.57560754,0.5971688
swa,0.5734751,0.6272951,0.6612333,0.5131321,0.59378386
nya,0.50777596,0.65462863,0.6593606,0.5157239,0.5843723
tsn,0.4878149,0.6234827,0.6495416,0.5430621,0.5759753
ewe,0.5720301,0.6326686,0.6213826,0.43183994,0.5644803
pcm,0.5566675,0.6682601,0.6240932,0.40805405,0.5642687
wol,0.46685284,0.61405265,0.61211836,0.5407021,0.5584315
sna,0.47924495,0.5511245,0.61342657,0.58903056,0.5582067
hau,0.45288283,0.62312305,0.59211636,0.5569916,0.55627847
bam,0.53807145,0.6159325,0.56610847,0.5032449,0.5558393
fon,0.48152685,0.61324,0.6198761,0.49863115,0.55331856
xho,0.42984638,0.6009796,0.5302023,0.61630696,0.5443338
zul,0.485489,0.5539396,0.601388,0.5362471,0.5442659
mos,0.4697375,0.6201497,0.61781293,0.43892688,0.53665674
bbj,0.40542036,0.6333284,0.55683553,0.45410043,0.5124212
yor,0.37438726,0.5102129,0.5004067,0.49223357,0.4693101
