,DATE,PER,ORG,LOC
bam,,,0.9962894320487976,0.998212993144989
bbj,,,0.9984880685806274,0.9966866970062256
ewe,,0.9987307190895081,0.9988855719566345,
fon,,0.9987542629241943,0.9984959363937378,0.9980087876319885
hau,,0.9988232254981995,0.9973800182342529,0.9961188435554504
ibo,,,0.9986552000045776,0.9969315528869629
kin,,0.9987891316413879,0.9986605048179626,0.9980699419975281
lug,,0.9977046251296997,0.9967561960220337,
luo,,0.9977235794067383,0.9975205063819885,
mos,,0.9987680912017822,0.9986321926116943,
nya,,0.9990712404251099,0.9984027743339539,0.9981284141540527
pcm,,0.9988100528717041,,0.9980899095535278
sna,,0.9983382225036621,0.9979637265205383,0.9980983734130859
swa,,0.9991521239280701,0.9968354105949402,0.9982253313064575
tsn,,,0.9984701871871948,0.9977798461914062
twi,,0.9989965558052063,0.998857319355011,0.9979044795036316
wol,,0.9990034699440002,0.9982003569602966,0.9973898530006409
xho,,0.9976739287376404,,0.9977608323097229
yor,,,0.998275876045227,0.9950724244117737
zul,,0.9985288381576538,,0.9975405335426331
