,ORG,LOC,PER,DATE
bam,0.9498977065086365,0.9606252908706665,0.985536515712738,0.9610741138458252
bbj,0.9839013814926147,0.9273144006729126,0.9846740961074829,0.9389846324920654
ewe,0.9892805814743042,0.9702709913253784,0.9789182543754578,0.9379749298095703
fon,0.9844229221343994,0.9577012658119202,0.9777377843856812,0.9486838579177856
hau,0.9759736061096191,0.9413264393806458,0.9786747694015503,0.9372230172157288
ibo,0.9863389730453491,0.9357067346572876,0.990035891532898,0.9737783670425415
kin,0.9869409203529358,0.977228581905365,0.9809194207191467,0.9747593402862549
lug,0.9693218469619751,0.9841547608375549,0.978508710861206,0.9480029344558716
luo,0.9829846620559692,0.9781183004379272,0.9762982726097107,0.9661211371421814
mos,0.9854397177696228,0.9563004970550537,0.9788018465042114,0.9406052231788635
nya,0.9797791838645935,0.9504117965698242,0.9897795915603638,0.9468225836753845
pcm,0.9623897671699524,0.9749761819839478,0.9799841642379761,0.8697474598884583
sna,0.9726113080978394,0.9567404389381409,0.9723801612854004,0.9478959441184998
swa,0.9554845690727234,0.9842984676361084,0.9756121635437012,0.8980885148048401
tsn,0.981674313545227,0.9721274375915527,0.9790570139884949,0.9640263915061951
twi,0.9909073710441589,0.9819245338439941,0.9834601879119873,0.9571017622947693
wol,0.9804444909095764,0.9376687407493591,0.9864685535430908,0.9645802974700928
xho,0.9774162769317627,0.9577199220657349,0.9592723250389099,0.9514687657356262
yor,0.9762004017829895,0.9101972579956055,0.9787887334823608,0.9553803205490112
zul,0.9839643836021423,0.9629289507865906,0.980807363986969,0.9584708213806152
