,LOC,ORG,DATE,PER
bam,0.9896581172943115,0.9936107993125916,,0.9962823390960693
bbj,0.9895690679550171,0.9921883940696716,,0.9952691197395325
ewe,0.9942778944969177,0.9911142587661743,,0.9927017092704773
fon,0.9901044964790344,0.9926681518554688,,0.993631899356842
hau,0.9890799522399902,0.9918584227561951,,0.9952959418296814
ibo,0.9905070066452026,0.9956308603286743,,0.9969676733016968
kin,0.9965839982032776,0.9944366216659546,,0.997865617275238
lug,0.9958880543708801,0.9954827427864075,,0.9985624551773071
luo,0.9943295121192932,0.9943560361862183,,0.9977964758872986
mos,0.9959495663642883,0.9944713115692139,,0.9944812059402466
nya,0.9960174560546875,0.9949596524238586,,0.9982698559761047
pcm,0.9929361343383789,0.9847197532653809,,0.9980931878089905
sna,0.9852693676948547,0.9959218502044678,,0.9979241490364075
swa,0.9947332143783569,0.9949309825897217,,0.9965183734893799
tsn,0.9940735101699829,0.9918339848518372,,0.9979159832000732
twi,0.9946507215499878,0.9966530799865723,,0.9971320033073425
wol,0.9954840540885925,0.9888487458229065,,0.9968541264533997
xho,0.9913020730018616,0.9929842948913574,,0.9913293719291687
yor,0.9848753213882446,0.9880572557449341,,0.9957714676856995
zul,0.989805281162262,0.9958224892616272,,0.9903367757797241
