,PER,LOC,ORG,DATE,Mean
kin,0.9779891967773438,0.967491626739502,0.9754734635353088,,0.9736514290173849
twi,0.978959858417511,0.959250271320343,0.9753859639167786,,0.9711986978848776
nya,0.9807738661766052,0.9446189999580383,0.9732877612113953,,0.9662268757820129
lug,0.9649764895439148,0.9609465599060059,0.9719264507293701,,0.9659498333930969
hau,0.9731420874595642,0.944560170173645,0.9737694263458252,,0.9638238946596781
swa,0.9684225916862488,0.9653412699699402,0.9564493894577026,,0.9634044170379639
luo,0.9677737951278687,0.9644785523414612,0.9544510245323181,,0.9622344573338827
ibo,0.9740257263183594,0.9379854798316956,0.9738172888755798,,0.9619428316752116
tsn,0.9731380343437195,0.9475648999214172,0.9619557857513428,,0.9608862400054932
mos,0.9676408171653748,0.9428115487098694,0.9667468667030334,,0.9590664108594259
sna,0.9693863391876221,0.936833381652832,0.9700376391410828,,0.958752453327179
zul,0.9574177861213684,0.9388866424560547,0.9751182794570923,,0.9571409026781718
pcm,0.9746018648147583,0.9431896209716797,0.9529711604118347,,0.9569208820660909
fon,0.9591947793960571,0.9426111578941345,0.966751217842102,,0.9561857183774313
wol,0.9725629091262817,0.9307050108909607,0.9629963040351868,,0.9554214080174764
ewe,0.9623217582702637,0.9344655275344849,0.9637294411659241,,0.9535055756568909
xho,0.9327433705329895,0.9269379377365112,0.9660691022872925,,0.941916803518931
bam,0.9693292379379272,0.9556425213813782,0.8917221426963806,,0.938897967338562
bbj,0.9669985771179199,0.8962166905403137,0.9522686004638672,,0.9384946227073669
yor,0.9385324120521545,0.8539120554924011,0.9550244808197021,,0.9158229827880859
