,LOC,PER,DATE,ORG,Mean
twi,0.9448279142379761,0.9746187329292297,,0.9698224663734436,0.9630897045135498
lug,0.9351912140846252,0.9583017826080322,,0.9678518772125244,0.9537816246350607
ibo,0.9072459936141968,0.9687097072601318,,0.9597392082214355,0.9452316363652548
mos,0.9223668575286865,0.9568875432014465,,0.9532237648963928,0.9441593885421753
hau,0.9007781147956848,0.9699032306671143,,0.9616371989250183,0.9441061814626058
nya,0.9133622050285339,0.9724553227424622,,0.9456871747970581,0.9438349008560181
kin,0.9233202338218689,0.9738335609436035,,0.9309747219085693,0.9427095055580139
sna,0.9074316620826721,0.9636607766151428,,0.9553130865097046,0.9421351750691732
swa,0.9342749118804932,0.9633684158325195,,0.9280819892883301,0.9419084390004476
wol,0.9056706428527832,0.9685389399528503,,0.9459793567657471,0.9400629798571268
fon,0.9107580780982971,0.9498018026351929,,0.9561710357666016,0.9389103055000305
ewe,0.9287461042404175,0.9531406760215759,,0.9343219995498657,0.9387362599372864
luo,0.939623236656189,0.956031858921051,,0.9197441339492798,0.9384664098421732
pcm,0.9209800958633423,0.968646764755249,,0.925693929195404,0.9384402632713318
tsn,0.9014419317245483,0.9604278206825256,,0.9488090872764587,0.9368929465611776
bam,0.9302217960357666,0.9647475481033325,,0.9132992625236511,0.9360895355542501
zul,0.8968632221221924,0.9427623748779297,,0.9596744179725647,0.9331000049908956
xho,0.8885893225669861,0.934640645980835,,0.952800452709198,0.9253434737523397
bbj,0.8252508640289307,0.9603711366653442,,0.9400438070297241,0.908555269241333
yor,0.7805389165878296,0.8940885066986084,,0.9432520866394043,0.8726265033086141
