,PER,LOC,ORG,DATE,Mean
kin,0.9999514818191528,0.9999291896820068,0.9999148845672607,0.9998719692230225,0.9999168813228607
sna,0.9999534487724304,0.9998670816421509,0.999957799911499,0.9998800754547119,0.9999146014451981
zul,0.9998810887336731,0.9998847842216492,0.9999530911445618,0.999906063079834,0.9999062567949295
hau,0.9999366402626038,0.9998919367790222,0.9999217391014099,0.999868631362915,0.9999047368764877
xho,0.9999021887779236,0.9998360276222229,0.9999275207519531,0.9999380111694336,0.9999009370803833
lug,0.9999801516532898,0.9998180270195007,0.9999473690986633,0.9998034238815308,0.9998872429132462
ibo,0.9999475479125977,0.9998756647109985,0.9998011589050293,0.9999119639396667,0.9998840838670731
mos,0.9999418258666992,0.9999045133590698,0.9998888373374939,0.9997767210006714,0.9998779743909836
twi,0.999932587146759,0.9998905658721924,0.9998958706855774,0.9997865557670593,0.999876394867897
nya,0.9999682307243347,0.9998964667320251,0.9998442530632019,0.9997919797897339,0.9998752325773239
bam,0.999899685382843,0.9998869299888611,0.9998601675033569,0.9998049139976501,0.9998629242181778
luo,0.9999279975891113,0.9998822808265686,0.9997583627700806,0.9998298287391663,0.9998496174812317
wol,0.9999332427978516,0.999823272228241,0.9997935891151428,0.9998382329940796,0.9998470842838287
fon,0.9998971819877625,0.9998545050621033,0.9998294115066528,0.9997052550315857,0.9998215883970261
swa,0.9999529123306274,0.9998535513877869,0.9997068643569946,0.9997455477714539,0.9998147189617157
tsn,0.9999347925186157,0.9998120665550232,0.9996830224990845,0.9998090863227844,0.999809741973877
bbj,0.9998969435691833,0.9997788071632385,0.9997750520706177,0.9997003078460693,0.9997877776622772
yor,0.9998440742492676,0.999600887298584,0.9998478293418884,0.9997627139091492,0.9997638761997223
ewe,0.9999076128005981,0.9998149871826172,0.9997855424880981,0.999458909034729,0.9997417628765106
pcm,0.9998879432678223,0.9997876286506653,0.9996681213378906,0.9993366599082947,0.9996700882911682
