,DATE,PER,LOC,ORG,Mean
sna,,0.9385671615600586,0.9884065985679626,0.9837231040000916,0.9833763028090855
hau,,0.9377788305282593,0.9800395369529724,0.980907678604126,0.9780569222738158
lug,,0.9513954520225525,,0.9812056422233582,0.9780116932732719
twi,,0.9519239664077759,0.9774349927902222,0.979343056678772,0.97689100256506
mos,,0.9490157961845398,0.982003390789032,0.9649032354354858,0.972070057437105
zul,,0.9527516961097717,0.9790465831756592,0.9673294425010681,0.972031240193349
fon,,0.9249087572097778,0.9741694927215576,0.9704471230506897,0.9696253144516135
ibo,,,0.9833402633666992,0.9557886719703674,0.9695644676685333
wol,,0.954236626625061,0.9804996252059937,0.9598620533943176,0.969278336695905
bam,,0.9197980165481567,0.9763734936714172,0.9614169001579285,0.9661161112335493
kin,,0.9522184729576111,0.9767553210258484,0.954521119594574,0.964878611969498
nya,,0.9582266807556152,0.9698873162269592,0.9601010680198669,0.9646111254422169
xho,,0.9342103600502014,0.9789290428161621,0.946728527545929,0.9612088743245827
yor,,,0.949239194393158,0.9657751321792603,0.9575071632862091
tsn,,,0.9643517732620239,0.9456021785736084,0.9549769759178162
bbj,,0.9469166994094849,0.9465647339820862,0.9613927006721497,0.9535789804638557
swa,,0.946847677230835,0.9632333517074585,0.9437105059623718,0.9530969711969484
ewe,,0.9460293650627136,0.9495676755905151,0.9416880011558533,0.9456505662990067
pcm,,0.9435529112815857,0.943362832069397,0.9368628263473511,0.9403075508351596
luo,,0.9483133554458618,,0.9294413924217224,0.9314633884600231
