,ORG,LOC,DATE,PER
bam,0.9999989867210388,0.9999991059303284,0.9999991655349731,0.9999994039535522
bbj,0.9999995827674866,0.999998152256012,0.9999992251396179,0.9999997615814209
ewe,0.9999997019767761,0.9999995231628418,0.9999988675117493,0.9999993443489075
fon,0.9999995231628418,0.9999980330467224,0.9999991655349731,0.9999989867210388
hau,0.9999994039535522,0.9999973773956299,0.9999974370002747,0.9999991059303284
ibo,0.9999995231628418,0.9999986886978149,0.999999463558197,0.9999995231628418
kin,0.9999997615814209,0.9999998211860657,0.9999991059303284,0.9999986290931702
lug,0.9999991059303284,0.9999997615814209,0.999998152256012,0.9999993443489075
luo,0.9999992847442627,0.9999994039535522,0.9999995231628418,0.9999991655349731
mos,0.9999996423721313,0.9999991059303284,0.9999977946281433,0.9999992251396179
nya,0.999999463558197,0.9999984502792358,0.9999982118606567,0.9999992251396179
pcm,0.9999988079071045,0.9999988079071045,0.9999953508377075,0.9999991059303284
sna,0.9999989867210388,0.9999983310699463,0.9999987483024597,0.9999997019767761
swa,0.9999990463256836,0.9999997019767761,0.9999975562095642,0.9999991059303284
tsn,0.9999988675117493,0.9999995231628418,0.9999992847442627,0.9999994039535522
twi,0.9999995827674866,0.9999997615814209,0.999999463558197,0.9999995231628418
wol,0.9999989867210388,0.9999979734420776,0.9999987483024597,0.9999997615814209
xho,0.9999991059303284,0.9999985694885254,0.9999995231628418,0.999999463558197
yor,0.9999996423721313,0.9999980926513672,0.9999990463256836,0.9999989867210388
zul,0.9999992847442627,0.9999993443489075,0.9999992847442627,0.9999991059303284
