,ORG,LOC,DATE,PER
bam,0.999891459941864,0.9986210465431213,0.9999158978462219,0.9997236728668213
bbj,0.9999333024024963,0.9985182881355286,0.9999198913574219,0.9998548030853271
ewe,0.999975323677063,0.9994723200798035,0.9998623728752136,0.9999483823776245
fon,0.9999762773513794,0.9989461898803711,0.999579668045044,0.9995303750038147
hau,0.9999294877052307,0.9982736706733704,0.9994366765022278,0.9999604225158691
ibo,0.9998931288719177,0.9994292259216309,0.9999287128448486,0.9999664425849915
kin,0.999871551990509,0.9999574422836304,0.9999113082885742,0.9999745488166809
lug,0.9993478059768677,0.9997236728668213,0.9995754957199097,0.9998745918273926
luo,0.9998604655265808,0.9999428987503052,0.9999209046363831,0.9999696612358093
mos,0.99996018409729,0.9992266297340393,0.9997263550758362,0.9995805621147156
nya,0.9999182820320129,0.9996265172958374,0.9998469352722168,0.9999058246612549
pcm,0.9993219971656799,0.9998995065689087,0.9986541867256165,0.9999808669090271
sna,0.9997181296348572,0.999610185623169,0.9999549388885498,0.9998757839202881
swa,0.9996687769889832,0.9999489188194275,0.9987059235572815,0.9999095797538757
tsn,0.999636173248291,0.9996287822723389,0.9999333620071411,0.9998521208763123
twi,0.9999462962150574,0.9999555945396423,0.9997920393943787,0.9999851584434509
wol,0.9999483227729797,0.9990917444229126,0.999941885471344,0.9997173547744751
xho,0.9997814297676086,0.99901282787323,0.9998457431793213,0.999735951423645
yor,0.9999009370803833,0.999293327331543,0.999919056892395,0.9998087882995605
zul,0.9999313950538635,0.9995636343955994,0.9999571442604065,0.9995505213737488
