,LOC,PER,DATE,ORG,Mean
ibo,0.9815015196800232,0.9193446040153503,0.9912092685699463,0.9879573583602905,0.9858256849091197
kin,0.9830823540687561,0.9098997116088867,0.9893272519111633,0.9878905415534973,0.9855562118407623
twi,0.9749431610107422,0.9310781359672546,0.9862236976623535,0.9929708242416382,0.9838679243573366
zul,0.9840710163116455,0.9149501323699951,0.9881263375282288,0.9824820160865784,0.9837916588845841
luo,0.9817932844161987,0.9305447340011597,0.988429069519043,0.9810293316841125,0.9829126748200164
xho,0.9806310534477234,0.9187085628509521,0.9904447793960571,0.9797431230545044,0.9825843067306859
ewe,0.9859192967414856,0.92570960521698,0.9755874276161194,0.9881423115730286,0.9823107273559871
sna,0.9823508858680725,0.9232285022735596,0.9834753274917603,0.9825319647789001,0.9818481450944435
tsn,0.9800902009010315,0.924747884273529,0.987300455570221,0.9791499376296997,0.9812757521476645
wol,0.9791942238807678,0.9192103743553162,0.9859002232551575,0.9808662533760071,0.980998293464891
yor,0.9727474451065063,0.9178512096405029,0.9785141944885254,0.9874817132949829,0.9786089930947371
nya,0.9758950471878052,0.9146251082420349,0.9760941863059998,0.9856419563293457,0.9781933054523518
mos,0.9819194078445435,0.915314793586731,0.9677302837371826,0.985177755355835,0.9772843034874423
bbj,0.974497377872467,0.9232945442199707,0.9719948768615723,0.9802030920982361,0.9747419570061792
fon,0.9752768278121948,0.9229508638381958,0.9668384194374084,0.9812420010566711,0.9736413680349435
bam,0.9811573028564453,0.9155348539352417,0.9795464873313904,0.9567320346832275,0.971581856253266
lug,0.9684756398200989,0.9133160710334778,0.968043327331543,0.9755440950393677,0.9697841973755303
swa,0.9763792753219604,0.9245181083679199,0.9500640630722046,0.979339599609375,0.9679001992143045
hau,0.9475870132446289,0.9272267818450928,0.9669391512870789,0.9833666682243347,0.9653542382823513
pcm,0.9725964665412903,0.9335379600524902,0.9384910464286804,0.9771621227264404,0.9622898483526675
