,ORG,LOC,DATE,PER,Mean
lug,0.9999906420707703,0.9999902248382568,0.9999898672103882,0.9999936819076538,0.9999911040067673
kin,0.9999899864196777,0.9999883770942688,0.9999923706054688,0.9999913573265076,0.9999905228614807
sna,0.9999956488609314,0.999985933303833,0.9999849796295166,0.9999934434890747,0.9999900013208389
nya,0.9999844431877136,0.9999931454658508,0.9999914765357971,0.9999905228614807,0.9999898970127106
luo,0.9999857544898987,0.9999918937683105,0.9999920725822449,0.9999892115592957,0.9999897330999374
wol,0.9999873042106628,0.999993085861206,0.9999868869781494,0.9999901056289673,0.9999893456697464
tsn,0.9999879598617554,0.9999855160713196,0.9999911189079285,0.9999910593032837,0.9999889135360718
yor,0.9999916553497314,0.9999849200248718,0.9999880790710449,0.9999889135360718,0.99998839199543
mos,0.9999909400939941,0.9999851584434509,0.9999823570251465,0.9999925494194031,0.9999877512454987
zul,0.999992847442627,0.9999856948852539,0.9999922513961792,0.9999797344207764,0.9999876320362091
ibo,0.9999833703041077,0.9999791383743286,0.9999937415122986,0.9999913573265076,0.9999869018793106
ewe,0.9999904632568359,0.999991238117218,0.9999833703041077,0.9999813437461853,0.9999866038560867
xho,0.9999937415122986,0.9999843239784241,0.9999919533729553,0.9999756813049316,0.9999864250421524
twi,0.9999914765357971,0.9999886751174927,0.9999744296073914,0.9999826550483704,0.9999843090772629
bam,0.9999749064445496,0.999987006187439,0.9999876618385315,0.9999865889549255,0.9999840408563614
bbj,0.999990701675415,0.9999786615371704,0.9999788403511047,0.999986469745636,0.9999836683273315
hau,0.9999886155128479,0.9999843835830688,0.999965250492096,0.9999868869781494,0.9999812841415405
swa,0.999980628490448,0.9999899864196777,0.9999687671661377,0.9999840259552002,0.9999808520078659
pcm,0.9999819397926331,0.9999863505363464,0.9999590516090393,0.9999877214431763,0.9999787658452988
fon,0.9999889731407166,0.9999818801879883,0.9999657273292542,0.9999721050262451,0.999977171421051
