,DATE,PER,LOC,ORG,Mean
twi,0.9798980355262756,0.9868650436401367,0.9793201088905334,0.9909656643867493,0.9842622131109238
kin,0.9883718490600586,0.980021059513092,0.9714558124542236,0.9872250556945801,0.9817684441804886
luo,0.9819337129592896,0.9801921248435974,0.977064847946167,0.983427882194519,0.9806546419858932
tsn,0.9831660985946655,0.9840719699859619,0.9680904746055603,0.9850705862045288,0.9800997823476791
zul,0.980594277381897,0.9793484807014465,0.9621636271476746,0.9895778298377991,0.9779210537672043
lug,0.9674545526504517,0.9832640886306763,0.9813196063041687,0.9735544919967651,0.9763981848955154
ewe,0.9653746485710144,0.9784643650054932,0.9695903658866882,0.9887312054634094,0.9755401462316513
sna,0.9861393570899963,0.9766373634338379,0.9531331658363342,0.9799202084541321,0.9739575237035751
nya,0.9754235744476318,0.9879476428031921,0.9489518404006958,0.9834069013595581,0.9739324897527695
ibo,0.9918083548545837,0.9858202338218689,0.9308181405067444,0.9849699139595032,0.973354160785675
wol,0.9801876544952393,0.9875686168670654,0.9348620176315308,0.9833581447601318,0.9714941084384918
bam,0.9811069369316101,0.9823087453842163,0.9552383422851562,0.9640092849731445,0.9706658273935318
mos,0.9572674036026001,0.9844053387641907,0.9518617987632751,0.9875373840332031,0.9702679812908173
xho,0.9758945107460022,0.9721143245697021,0.9488696455955505,0.9798159003257751,0.9691735953092575
fon,0.9600010514259338,0.9839065074920654,0.9444907903671265,0.9872129559516907,0.9689028263092041
yor,0.9749321937561035,0.9812158346176147,0.9317813515663147,0.9785336852073669,0.96661576628685
hau,0.9471527934074402,0.9827825427055359,0.9515113830566406,0.9820165634155273,0.965865820646286
bbj,0.961875319480896,0.9823483824729919,0.9270206689834595,0.9846789240837097,0.9639808237552643
swa,0.9233731627464294,0.9795501828193665,0.979428231716156,0.9666770100593567,0.9622571468353271
pcm,0.9160638451576233,0.9846149682998657,0.9680442810058594,0.9584679007530212,0.9567977488040924
