,PER,LOC,DATE,ORG,Mean
lug,0.999847,0.99958736,0.9990015,0.99960065,0.99950916
kin,0.99969304,0.99918747,0.99909407,0.9997474,0.99943054
luo,0.9997058,0.9993081,0.9987611,0.9997303,0.99937636
ibo,0.99963367,0.9986656,0.9994101,0.99968076,0.9993475
twi,0.99949193,0.99911284,0.9990374,0.9997388,0.9993452
tsn,0.9996897,0.9988557,0.99890554,0.9995987,0.9992624
swa,0.9996987,0.999264,0.9980562,0.99960035,0.9991548
nya,0.99906725,0.9984419,0.99862796,0.9997304,0.9989669
wol,0.9996054,0.9978756,0.9989454,0.9994309,0.9989643
zul,0.99903905,0.9983013,0.9988874,0.9994096,0.99890935
pcm,0.99966437,0.9989079,0.99748504,0.9995648,0.9989056
ewe,0.9992765,0.99851775,0.9982299,0.9995784,0.99890065
sna,0.998699,0.9982033,0.9990749,0.99953276,0.99887747
xho,0.999098,0.9980134,0.9993641,0.99889255,0.998842
bam,0.9996071,0.9983861,0.9982264,0.9988896,0.99877733
hau,0.99940664,0.9974308,0.99869585,0.9993191,0.9987131
mos,0.99956554,0.9974848,0.99827147,0.9995284,0.99871254
bbj,0.9995778,0.9974749,0.9983316,0.999406,0.9986975
yor,0.9990044,0.9973902,0.9989508,0.9992251,0.9986426
fon,0.9993602,0.9977821,0.997926,0.9994928,0.9986403
