,LOC,ORG,PER,DATE
bam,0.9999695420265198,0.9999619126319885,0.9999831318855286,
bbj,0.9999504089355469,0.9999632835388184,0.9999844431877136,
ewe,0.9999625086784363,0.9999647736549377,0.9999858736991882,
fon,0.999958336353302,0.9999642372131348,0.9999754428863525,
hau,0.9999639987945557,0.9999627470970154,0.9999855756759644,
ibo,0.9999727010726929,0.9999638199806213,0.9999891519546509,
kin,0.999957263469696,0.9999536275863647,0.9999797940254211,
lug,0.9999620914459229,0.9999704360961914,0.9999886751174927,
luo,0.9999610185623169,0.9999527931213379,0.9999849200248718,
mos,0.9999638199806213,0.9999656677246094,0.9999877214431763,
nya,0.9999588131904602,0.9999613165855408,0.9999897480010986,
pcm,0.9999552369117737,0.9999558925628662,0.9999818205833435,
sna,0.9999735355377197,0.9999783039093018,0.999984622001648,
swa,0.9999608397483826,0.9999560117721558,0.9999776482582092,
tsn,0.9999535083770752,0.9999642372131348,0.9999907612800598,
twi,0.999965250492096,0.9999811053276062,0.999986469745636,
wol,0.9999545812606812,0.9999527335166931,0.9999828934669495,
xho,0.999970555305481,0.9999718070030212,0.9999743700027466,
yor,0.9999350905418396,0.9999694228172302,0.9999815225601196,
zul,0.9999595880508423,0.9999755024909973,0.9999825954437256,
