,PER,ORG,LOC,DATE,Mean
kin,0.9786264896392822,0.9875479340553284,0.9784260392189026,0.9688428044319153,0.9783608168363571
twi,0.9804835319519043,0.9901523590087891,0.9721815586090088,0.9685025215148926,0.9778299927711487
luo,0.9817625284194946,0.9814406037330627,0.9690671563148499,0.9771962761878967,0.977366641163826
nya,0.9824371933937073,0.9862000346183777,0.965058445930481,0.9653562903404236,0.9747629910707474
tsn,0.9840908050537109,0.9754587411880493,0.9640865921974182,0.9732401967048645,0.9742190837860107
lug,0.993215799331665,0.9661076664924622,0.9731665253639221,0.9576901793479919,0.9725450426340103
ibo,0.9754780530929565,0.986143171787262,0.9487086534500122,0.9795445799827576,0.9724686145782471
ewe,0.9829631447792053,0.9844160079956055,0.967269241809845,0.9542950987815857,0.9722358733415604
zul,0.9768688082695007,0.9811155200004578,0.9604294896125793,0.9678633213043213,0.9715692847967148
sna,0.981894850730896,0.9841445088386536,0.9459190964698792,0.970950186252594,0.9707271605730057
wol,0.9747866988182068,0.9775039553642273,0.9515448212623596,0.971822202205658,0.9689144194126129
xho,0.9735378623008728,0.9733221530914307,0.9459741115570068,0.9703959822654724,0.9658075273036957
mos,0.9777034521102905,0.9822094440460205,0.9506638646125793,0.9514948129653931,0.9655178934335709
pcm,0.9869440793991089,0.9771521091461182,0.9721587896347046,0.923241138458252,0.9648740291595459
fon,0.9776145815849304,0.9809825420379639,0.9401654005050659,0.9596854448318481,0.9646119922399521
swa,0.9854116439819336,0.966276228427887,0.980289101600647,0.9234941005706787,0.9638677686452866
bam,0.9681333899497986,0.9667108654975891,0.9515382647514343,0.9675664305686951,0.9634872376918793
yor,0.9675242304801941,0.9787157773971558,0.9289646148681641,0.9644321799278259,0.959909200668335
hau,0.9762202501296997,0.9744847416877747,0.9377297759056091,0.9444261193275452,0.9582152217626572
bbj,0.973030686378479,0.9766767621040344,0.9239941835403442,0.9559741616249084,0.9574189484119415
