,LOC,ORG,DATE,PER,Mean
lug,0.9133565425872803,0.8533177375793457,0.850773811340332,0.977326512336731,0.8986936509609222
nya,0.8661878108978271,0.9254937171936035,0.8652365207672119,0.9166995286941528,0.8934043943881989
kin,0.8994323015213013,0.9051366448402405,0.9015294313430786,0.8604936003684998,0.89164799451828
twi,0.8995397686958313,0.9110063314437866,0.8125186562538147,0.9177886843681335,0.8852133601903915
luo,0.8954805731773376,0.8675863742828369,0.8613105416297913,0.8680319786071777,0.8731023669242859
tsn,0.8335077166557312,0.8900994658470154,0.8892042636871338,0.8671818375587463,0.8699983209371567
ibo,0.781219482421875,0.8924952149391174,0.9108405709266663,0.8916714787483215,0.8690566867589951
swa,0.9355862736701965,0.8333603143692017,0.809026300907135,0.8601614832878113,0.8595335930585861
sna,0.7207692265510559,0.8597544431686401,0.9018680453300476,0.9002147316932678,0.8456516116857529
zul,0.8115089535713196,0.878657341003418,0.883646547794342,0.8070447444915771,0.8452143967151642
wol,0.7486891150474548,0.8557946085929871,0.868436872959137,0.8813896775245667,0.8385775685310364
hau,0.7072020173072815,0.8672362565994263,0.8883978128433228,0.8834007382392883,0.8365592062473297
xho,0.6869369149208069,0.852216362953186,0.9027940034866333,0.8654322028160095,0.8268448710441589
pcm,0.8961161375045776,0.8017702102661133,0.593211829662323,0.925143301486969,0.8040603697299957
ewe,0.8400360345840454,0.8592205047607422,0.5987167954444885,0.8911936283111572,0.7972917407751083
fon,0.7211882472038269,0.8472639918327332,0.7412549257278442,0.878547191619873,0.7970635890960693
bam,0.8016719222068787,0.7161117196083069,0.8144094347953796,0.8553609251976013,0.7968885004520416
mos,0.755157470703125,0.8153166770935059,0.685604989528656,0.8680762052536011,0.781038835644722
bbj,0.5940084457397461,0.8003943562507629,0.7050353288650513,0.8862466812133789,0.7464212030172348
yor,0.5897315144538879,0.794058084487915,0.7346428632736206,0.7272160649299622,0.7114121317863464
