,LOC,PER,DATE,ORG,Mean
lug,0.8899199962615967,0.9755720496177673,0.8342664837837219,0.8687957525253296,0.8921385705471039
kin,0.8730353713035583,0.8772112131118774,0.8913663625717163,0.9143036007881165,0.8889791369438171
nya,0.8509456515312195,0.9058136343955994,0.8550544381141663,0.9126749038696289,0.8811221569776535
twi,0.8735173344612122,0.916793167591095,0.7923518419265747,0.9154708385467529,0.8745332956314087
luo,0.8755439519882202,0.8614480495452881,0.8621194958686829,0.870489239692688,0.8674001842737198
ibo,0.7491888999938965,0.8751731514930725,0.9066265225410461,0.8774860501289368,0.852118656039238
tsn,0.8054118752479553,0.8642475605010986,0.8755993247032166,0.8593770265579224,0.8511589467525482
swa,0.9074872732162476,0.8656384944915771,0.7961490154266357,0.7907968759536743,0.8400179147720337
zul,0.7875707745552063,0.8008514642715454,0.8715863823890686,0.8716773390769958,0.832921490073204
hau,0.6854550838470459,0.8850867748260498,0.8783683180809021,0.8823195695877075,0.8328074365854263
sna,0.6686123609542847,0.8944686055183411,0.9067690372467041,0.8611999154090881,0.8327624797821045
wol,0.7200862169265747,0.8821957111358643,0.8514094948768616,0.8592941164970398,0.8282463848590851
xho,0.6330467462539673,0.8591070771217346,0.911543607711792,0.8528039455413818,0.8141253441572189
fon,0.6903921365737915,0.8757222890853882,0.744306206703186,0.8503808379173279,0.7902003675699234
bam,0.7796931266784668,0.844470739364624,0.7849340438842773,0.733298659324646,0.7855991423130035
ewe,0.8047273755073547,0.8852558135986328,0.548048198223114,0.8591922521591187,0.774305909872055
mos,0.7284462451934814,0.8682454824447632,0.6543845534324646,0.831174373626709,0.7705626636743546
pcm,0.8596436381340027,0.8935627937316895,0.5124189257621765,0.7746779918670654,0.7600758373737335
bbj,0.548180103302002,0.8784850239753723,0.6839770674705505,0.7967290878295898,0.7268428206443787
yor,0.5346499681472778,0.7349123954772949,0.7251047492027283,0.7895700931549072,0.6960593014955521
