,LOC,DATE,PER,ORG
bam,0.9854610562324524,,0.9866524934768677,0.9610103964805603
bbj,0.9567455649375916,,0.9913493990898132,0.9824640154838562
ewe,0.9847229719161987,,0.9898249506950378,0.9896863698959351
fon,0.976953387260437,,0.9876280426979065,0.987822949886322
hau,0.9811359643936157,,0.9866169691085815,0.9805408716201782
ibo,0.9668881893157959,,0.9869294166564941,0.9870133996009827
kin,0.9852977395057678,,0.987059473991394,0.9881260395050049
lug,0.9894363880157471,,0.9825906753540039,0.9830267429351807
luo,0.9883246421813965,,0.9862889051437378,0.9773759245872498
mos,0.9727404713630676,,0.9872525930404663,0.9851047992706299
nya,0.9729559421539307,,0.9922618865966797,0.986655592918396
pcm,0.9836575388908386,,0.9919230937957764,0.9836145043373108
sna,0.9738321900367737,,0.9868380427360535,0.9820142388343811
swa,0.9875675439834595,,0.9895146489143372,0.971290111541748
tsn,0.9837895631790161,,0.9902068972587585,0.9887168407440186
twi,0.9874372482299805,,0.9918146729469299,0.9917839169502258
wol,0.9709321856498718,,0.9889001250267029,0.9841620326042175
xho,0.9705715179443359,,0.9715390801429749,0.9815439581871033
yor,0.9568935036659241,,0.9841251969337463,0.9840395450592041
zul,0.9828802943229675,,0.9848544001579285,0.9873553514480591
