,ORG,LOC,DATE,PER
bam,0.9424896240234375,0.9522061347961426,,0.9666135907173157
bbj,0.9690663814544678,0.916137158870697,,0.972851574420929
ewe,0.9798383116722107,0.9670276045799255,,0.9707010388374329
fon,0.9724817872047424,0.940540075302124,,0.9750693440437317
hau,0.9708602428436279,0.9436935782432556,,0.9704235792160034
ibo,0.981070339679718,0.9447142481803894,,0.9733076095581055
kin,0.9792515635490417,0.9601343274116516,,0.9756345152854919
lug,0.9727494120597839,0.9705619812011719,,0.9775051474571228
luo,0.9574849009513855,0.9599664807319641,,0.9719024300575256
mos,0.9749966263771057,0.9381322264671326,,0.9750823974609375
nya,0.9771919846534729,0.9543238878250122,,0.9810482263565063
pcm,0.9642009735107422,0.9626865386962891,,0.9807725548744202
sna,0.977107048034668,0.959178626537323,,0.9763529300689697
swa,0.9572737812995911,0.962931752204895,,0.9703495502471924
tsn,0.9765029549598694,0.9673510193824768,,0.9805903434753418
twi,0.9835829734802246,0.9577797651290894,,0.9770321249961853
wol,0.9718053936958313,0.948999285697937,,0.9702566266059875
xho,0.9707837104797363,0.9544758796691895,,0.959616482257843
yor,0.9678570628166199,0.9272457361221313,,0.9689352512359619
zul,0.9777041077613831,0.9500412344932556,,0.9713379144668579
