,LOC,PER,DATE,ORG,Mean
kin,0.9628377556800842,0.9592083096504211,0.9657274484634399,0.9786550998687744,0.9666071534156799
twi,0.952496349811554,0.9638097286224365,0.9359805583953857,0.9755522608757019,0.9569597244262695
luo,0.9480382204055786,0.9664034247398376,0.943108856678009,0.9667033553123474,0.9560634642839432
lug,0.9575309753417969,0.9911730289459229,0.9470803141593933,0.9194685816764832,0.953813225030899
nya,0.9355961084365845,0.9624790549278259,0.9468345046043396,0.9693565368652344,0.9535665512084961
ibo,0.9089899063110352,0.9602997303009033,0.9585555195808411,0.9756446480751038,0.9508724510669708
zul,0.9153449535369873,0.9541022181510925,0.9555123448371887,0.9728430509567261,0.9494506418704987
tsn,0.9427986741065979,0.9568523168563843,0.9518434405326843,0.9449915289878845,0.9491214901208878
wol,0.9088760614395142,0.9572246670722961,0.9591634273529053,0.9656696319580078,0.9477334469556808
sna,0.9218037724494934,0.9577448964118958,0.9435614347457886,0.9658821821212769,0.9472480714321136
ewe,0.9427163600921631,0.9643067121505737,0.9034834504127502,0.9703448414802551,0.9452128410339355
swa,0.9735051989555359,0.9691656827926636,0.8921070694923401,0.9424939751625061,0.9443179816007614
xho,0.8924729228019714,0.948171079158783,0.9537014365196228,0.9585186243057251,0.9382160156965256
pcm,0.9343827962875366,0.9696998000144958,0.8875988125801086,0.9558136463165283,0.9368737637996674
bam,0.9208427667617798,0.9432044625282288,0.9242649674415588,0.9197272658348083,0.9270098656415939
bbj,0.8853795528411865,0.9655348658561707,0.8625181913375854,0.9618058204650879,0.9188096076250076
fon,0.8889257907867432,0.9497869610786438,0.863599419593811,0.9702793955802917,0.9181478917598724
yor,0.8731499314308167,0.9357725977897644,0.9114420413970947,0.9492278099060059,0.9173980951309204
mos,0.9102025628089905,0.9558414816856384,0.8285600543022156,0.9638906717300415,0.9146236926317215
hau,0.8485684990882874,0.9490419626235962,0.9266396760940552,0.9327260851860046,0.9142440557479858
