,LOC,DATE,PER,ORG
bam,0.9975791573524475,,0.9980679750442505,0.9938032031059265
bbj,0.9906368851661682,,0.9910261034965515,0.9937018156051636
ewe,0.9956380724906921,,0.9762205481529236,0.9972524642944336
fon,0.9925358295440674,,0.9872605800628662,0.996070921421051
hau,0.9966531991958618,,0.9853317737579346,0.9966962933540344
ibo,0.9972293376922607,,0.9984838366508484,0.9985871315002441
kin,0.9924216866493225,,0.9983845949172974,0.9987260103225708
lug,0.9993826150894165,,0.991279125213623,0.995007336139679
luo,0.9960821270942688,,0.9972639083862305,0.9974237680435181
mos,0.9949749708175659,,0.977277934551239,0.9960758090019226
nya,0.9942640066146851,,0.9980784058570862,0.995039165019989
pcm,0.9986815452575684,,0.9984339475631714,0.9893025755882263
sna,0.9966751933097839,,0.994608998298645,0.9972565770149231
swa,0.9990630745887756,,0.9984941482543945,0.995859682559967
tsn,0.9977370500564575,,0.9887718558311462,0.9842682480812073
twi,0.9991592764854431,,0.9974740743637085,0.997326672077179
wol,0.9940349459648132,,0.990949809551239,0.9854884743690491
xho,0.9974507689476013,,0.9872322082519531,0.9860088229179382
yor,0.9920032024383545,,0.9902403354644775,0.9917282462120056
zul,0.9964415431022644,,0.9920729994773865,0.9937507510185242
