,LOC,PER,ORG,DATE,Mean
twi,0.9431424736976624,0.9235565662384033,0.9698638916015625,,0.9546382798338836
pcm,0.9604407548904419,0.8918562531471252,,,0.9530924154179437
ibo,0.9411606788635254,,0.9539027214050293,,0.9475317001342773
lug,,0.8786446452140808,0.9552103877067566,,0.947006915296827
mos,,0.8596174120903015,0.9553016424179077,,0.9450497605970928
fon,0.9314695596694946,0.8746131062507629,0.9659329652786255,,0.9445075932538735
bam,0.9566925764083862,,0.9313029050827026,,0.9439977407455444
nya,0.9319596886634827,,0.9508232474327087,,0.9413914680480957
tsn,0.9354797601699829,,0.9456409215927124,,0.9405603408813477
luo,,0.9185528755187988,0.9372069239616394,,0.9352082759141922
kin,0.9395530819892883,0.9033622741699219,0.9343186020851135,,0.935035451403204
ewe,,0.8962572813034058,0.9391649961471558,,0.9345677409853254
sna,0.9374856948852539,0.9055805206298828,,,0.9340672833578927
hau,0.912761390209198,0.9056106209754944,0.958022952079773,,0.9337064230217124
wol,0.9222891330718994,0.9194696545600891,0.9261729717254639,,0.9239615393134782
zul,0.9225054979324341,,,,0.9225054979324341
bbj,0.8867762088775635,,0.9515982270240784,,0.9191872179508209
swa,0.9395943880081177,0.9100581407546997,0.8948591351509094,,0.9168209905894298
xho,0.9105647206306458,0.8855326771736145,,,0.9078827159745353
yor,0.8319985866546631,,0.9455626606941223,,0.8887806236743927
