,ORG,LOC,DATE,PER,Mean
kin,0.9703376293182373,0.9447299838066101,0.963921308517456,0.8257467150688171,0.9575540564191622
luo,0.9545612931251526,0.9445704221725464,0.9668236970901489,0.8387327194213867,0.9534824747113105
ibo,0.9537914395332336,0.9372808337211609,0.970802903175354,0.8179654479026794,0.9518167709741067
nya,0.9586085677146912,0.9371736645698547,0.9582253098487854,0.8534990549087524,0.9497951104885011
zul,0.955152690410614,0.933082640171051,0.9631544351577759,0.8316249251365662,0.9485917854809699
twi,0.9709873795509338,0.9346733093261719,0.9444350004196167,0.8305858373641968,0.9481508561319566
sna,0.9586241245269775,0.9154424667358398,0.9624974727630615,0.8321126699447632,0.9437353911362295
hau,0.9595696330070496,0.9182425737380981,0.9564870595932007,0.8379945755004883,0.9430849757094396
tsn,0.9496695399284363,0.9175766706466675,0.9651530981063843,0.8424960374832153,0.9425325191865755
xho,0.9408008456230164,0.904918909072876,0.9814584851264954,0.8263611197471619,0.9405654768931271
lug,0.9602258205413818,0.9162442684173584,0.9451626539230347,0.8365329504013062,0.9389062744425977
wol,0.94895339012146,0.9193038940429688,0.9489190578460693,0.8479905724525452,0.9376246356588649
mos,0.9431864619255066,0.9313342571258545,0.8972634673118591,0.82203209400177,0.9223234012058088
swa,0.9290405511856079,0.9064132571220398,0.9038340449333191,0.8378116488456726,0.9119103715175719
fon,0.9232153296470642,0.9172460436820984,0.8958829045295715,0.8221395015716553,0.9106978260938889
yor,0.9409750699996948,0.8814905285835266,0.9069681167602539,0.8165085315704346,0.9083419044812521
bam,0.8397956490516663,0.9331640601158142,0.9497029185295105,0.8179826736450195,0.9061436338687506
ewe,0.9453772306442261,0.898495078086853,0.8744593858718872,0.828240692615509,0.9048842676668343
pcm,0.9290398359298706,0.9212148189544678,0.8593052625656128,0.8460615277290344,0.9022870310961105
bbj,0.9216170310974121,0.8572806119918823,0.8987395167350769,0.8368603587150574,0.8916687851189942
