,ORG,DATE,PER,LOC,Mean
tsn,0.9999896883964539,,,0.9999868869781494,0.9999882876873016
zul,,,0.9999915957450867,0.9999811053276062,0.9999863505363464
hau,0.9999890327453613,,0.9999805092811584,0.9999881386756897,0.9999858935674032
pcm,0.9999768733978271,,0.9999879002571106,0.9999858140945435,0.999983529249827
ibo,0.9999874830245972,,,0.9999765753746033,0.9999820291996002
twi,0.9999904036521912,,0.9999576210975647,0.999984622001648,0.9999775489171346
swa,0.9999719262123108,,0.9999722242355347,0.999987781047821,0.9999773104985555
lug,0.9999784827232361,,0.9999737739562988,,0.9999761283397675
ewe,0.9999790191650391,,0.9999731779098511,,0.9999760985374451
fon,0.9999802708625793,,0.9999736547470093,0.9999697208404541,0.9999745488166809
yor,0.999986469745636,,,0.9999616146087646,0.9999740421772003
nya,0.9999895691871643,,0.9999964833259583,0.9999269247055054,0.9999709924062093
kin,0.9999328255653381,,0.9999930262565613,0.9999738335609436,0.999966561794281
sna,0.9999676942825317,,0.9999517202377319,0.9999698400497437,0.9999630848566691
wol,0.999938428401947,,0.9999644160270691,0.9999828338623047,0.9999618927637736
mos,0.999984085559845,,0.999944269657135,0.9999567270278931,0.9999616940816244
xho,,,0.9999863505363464,0.9999161958694458,0.9999512732028961
bbj,0.9999479651451111,,0.9998838901519775,0.9999386072158813,0.9999234875043234
bam,0.9997982382774353,,,0.9999822378158569,0.9998902380466461
luo,0.9998123049736023,,0.9999654293060303,,0.9998888671398163
