,ORG,DATE,PER,LOC
bam,0.9999977946281433,0.9999983310699463,0.9999992251396179,0.9999988079071045
bbj,0.9999991655349731,0.9999986886978149,0.9999993443489075,0.9999989867210388
ewe,0.9999990463256836,0.999998927116394,0.9999992251396179,0.9999996423721313
fon,0.9999988675117493,0.9999982714653015,0.9999979138374329,0.9999989867210388
hau,0.9999994039535522,0.9999983310699463,0.9999995231628418,0.9999993443489075
ibo,0.9999988079071045,0.9999995231628418,0.9999998211860657,0.9999992847442627
kin,0.9999995231628418,0.9999989867210388,0.9999984502792358,0.9999993443489075
lug,0.9999997615814209,0.9999994039535522,0.9999998807907104,0.999999463558197
luo,0.9999990463256836,0.9999988079071045,0.9999994039535522,0.9999997019767761
mos,0.9999991655349731,0.9999987483024597,0.999999463558197,0.9999995827674866
nya,0.9999995231628418,0.999998927116394,0.9999994039535522,0.9999997615814209
pcm,0.9999988079071045,0.9999980926513672,0.9999992251396179,0.9999992251396179
sna,0.9999998211860657,0.9999992251396179,0.9999995827674866,0.9999998211860657
swa,0.999998927116394,0.9999985098838806,0.9999989867210388,0.9999992847442627
tsn,0.9999993443489075,0.9999988079071045,0.9999996423721313,0.9999995231628418
twi,0.9999993443489075,0.9999974966049194,0.9999987483024597,0.9999992251396179
wol,0.9999992251396179,0.9999991059303284,0.999999463558197,0.9999996423721313
xho,0.9999995827674866,0.999999463558197,0.9999989867210388,0.9999996423721313
yor,0.9999994039535522,0.9999992251396179,0.9999992251396179,0.9999991059303284
zul,0.999999463558197,0.9999992251396179,0.9999985098838806,0.9999992847442627
